GSM1659964|N/A|N/A|N/A|N/A|At time of delivery|N/A|Whole Blood|N/A|in_vivo|N/A|N/A|Cadmium|Environmental
GSM1659965|N/A|N/A|N/A|N/A|At time of delivery|N/A|Whole Blood|N/A|in_vivo|N/A|N/A|No Treatment|N/A
GSM1659966|N/A|N/A|N/A|N/A|At time of delivery|N/A|Whole Blood|N/A|in_vivo|N/A|N/A|No Treatment|N/A
GSM1659967|N/A|N/A|N/A|N/A|At time of delivery|N/A|Whole Blood|N/A|in_vivo|N/A|N/A|No Treatment|N/A
GSM1659968|N/A|N/A|N/A|N/A|At time of delivery|N/A|Whole Blood|N/A|in_vivo|N/A|N/A|No Treatment|N/A
GSM1659969|N/A|N/A|N/A|N/A|At time of delivery|N/A|Whole Blood|N/A|in_vivo|N/A|N/A|Cadmium|Environmental
GSM1659970|N/A|N/A|N/A|N/A|At time of delivery|N/A|Whole Blood|N/A|in_vivo|N/A|N/A|No Treatment|N/A
GSM1659971|N/A|N/A|N/A|N/A|At time of delivery|N/A|Whole Blood|N/A|in_vivo|N/A|N/A|Cadmium|Environmental
GSM1659972|N/A|N/A|N/A|N/A|At time of delivery|N/A|Whole Blood|N/A|in_vivo|N/A|N/A|Cadmium|Environmental
GSM1659973|N/A|N/A|N/A|N/A|At time of delivery|N/A|Whole Blood|N/A|in_vivo|N/A|N/A|Cadmium|Environmental
GSM1659974|N/A|N/A|N/A|N/A|At time of delivery|N/A|Whole Blood|N/A|in_vivo|N/A|N/A|Cadmium|Environmental
GSM1659975|N/A|N/A|N/A|N/A|At time of delivery|N/A|Whole Blood|N/A|in_vivo|N/A|N/A|Cadmium|Environmental
GSM1659976|N/A|N/A|N/A|N/A|At time of delivery|N/A|Whole Blood|N/A|in_vivo|N/A|N/A|No Treatment|N/A
GSM1659977|N/A|N/A|N/A|N/A|At time of delivery|N/A|Whole Blood|N/A|in_vivo|N/A|N/A|Cadmium|Environmental
GSM1659978|N/A|N/A|N/A|N/A|At time of delivery|N/A|Whole Blood|N/A|in_vivo|N/A|N/A|No Treatment|N/A
GSM1659979|N/A|N/A|N/A|N/A|At time of delivery|N/A|Whole Blood|N/A|in_vivo|N/A|N/A|Cadmium|Environmental
GSM1659980|N/A|N/A|N/A|N/A|At time of delivery|N/A|Whole Blood|N/A|in_vivo|N/A|N/A|Cadmium|Environmental
GSM1659981|N/A|N/A|N/A|N/A|At birth|N/A|Whole Blood|N/A|in_vivo|N/A|N/A|Cadmium|Environmental
GSM1659982|N/A|N/A|N/A|N/A|At birth|N/A|Whole Blood|N/A|in_vivo|N/A|N/A|No Treatment|N/A
GSM1659983|N/A|N/A|N/A|N/A|At birth|N/A|Whole Blood|N/A|in_vivo|N/A|N/A|No Treatment|N/A
GSM1659984|N/A|N/A|N/A|N/A|At birth|N/A|Whole Blood|N/A|in_vivo|N/A|N/A|No Treatment|N/A
GSM1659985|N/A|N/A|N/A|N/A|At birth|N/A|Whole Blood|N/A|in_vivo|N/A|N/A|No Treatment|N/A
GSM1659986|N/A|N/A|N/A|N/A|At birth|N/A|Whole Blood|N/A|in_vivo|N/A|N/A|Cadmium|Environmental
GSM1659987|N/A|N/A|N/A|N/A|At birth|N/A|Whole Blood|N/A|in_vivo|N/A|N/A|No Treatment|N/A
GSM1659988|N/A|N/A|N/A|N/A|At birth|N/A|Whole Blood|N/A|in_vivo|N/A|N/A|Cadmium|Environmental
GSM1659989|N/A|N/A|N/A|N/A|At birth|N/A|Whole Blood|N/A|in_vivo|N/A|N/A|Cadmium|Environmental
GSM1659990|N/A|N/A|N/A|N/A|At birth|N/A|Whole Blood|N/A|in_vivo|N/A|N/A|Cadmium|Environmental
GSM1659991|N/A|N/A|N/A|N/A|At birth|N/A|Whole Blood|N/A|in_vivo|N/A|N/A|Cadmium|Environmental
GSM1659992|N/A|N/A|N/A|N/A|At birth|N/A|Whole Blood|N/A|in_vivo|N/A|N/A|Cadmium|Environmental
GSM1659993|N/A|N/A|N/A|N/A|At birth|N/A|Whole Blood|N/A|in_vivo|N/A|N/A|No Treatment|N/A
GSM1659994|N/A|N/A|N/A|N/A|At birth|N/A|Whole Blood|N/A|in_vivo|N/A|N/A|Cadmium|Environmental
GSM1659995|N/A|N/A|N/A|N/A|At birth|N/A|Whole Blood|N/A|in_vivo|N/A|N/A|No Treatment|N/A
GSM1659996|N/A|N/A|N/A|N/A|At birth|N/A|Whole Blood|N/A|in_vivo|N/A|N/A|Cadmium|Environmental
GSM1659997|N/A|N/A|N/A|N/A|At birth|N/A|Whole Blood|N/A|in_vivo|N/A|N/A|Cadmium|Environmental
