GSM1266858|N/A|N/A|N/A|N/A|N/A|healthy|Cells|N/A|in_vivo|ctrl|LT-HSC|N/A|N/A
GSM1266859|N/A|N/A|N/A|N/A|N/A|healthy|Cells|N/A|in_vivo|ctrl|LT-HSC|N/A|N/A
GSM1266860|N/A|N/A|N/A|N/A|N/A|healthy|Cells|N/A|in_vivo|ctrl|LT-HSC|N/A|N/A
GSM1266861|N/A|N/A|N/A|N/A|N/A|healthy|Cells|N/A|in_vivo|ctrl|ST-HSC|N/A|N/A
GSM1266862|N/A|N/A|N/A|N/A|N/A|healthy|Cells|N/A|in_vivo|ctrl|ST-HSC|N/A|N/A
GSM1266863|N/A|N/A|N/A|N/A|N/A|healthy|Cells|N/A|in_vivo|ctrl|ST-HSC|N/A|N/A
GSM1266864|N/A|N/A|N/A|N/A|N/A|healthy|Cells|N/A|in_vivo|ctrl|CMP|N/A|N/A
GSM1266865|N/A|N/A|N/A|N/A|N/A|healthy|Cells|N/A|in_vivo|ctrl|CMP|N/A|N/A
GSM1266866|N/A|N/A|N/A|N/A|N/A|healthy|Cells|N/A|in_vivo|ctrl|CMP|N/A|N/A
GSM1266867|N/A|N/A|N/A|N/A|N/A|healthy|Cells|N/A|in_vivo|ctrl|MEP|N/A|N/A
GSM1266868|N/A|N/A|N/A|N/A|N/A|healthy|Cells|N/A|in_vivo|ctrl|MEP|N/A|N/A
GSM1266869|N/A|N/A|N/A|N/A|N/A|healthy|Cells|N/A|in_vivo|ctrl|MEP|N/A|N/A
