GSM2752440|N/A|N/A|N/A|N/A|DNMT3A transcripts 1+3|N/A|Whole Blood|CD34+ Hematopoietic Stem Cells|in_vitro|ctrl|Control|N/A|Genetic
GSM2752441|N/A|N/A|N/A|N/A|DNMT3A transcript 2|N/A|Whole Blood|CD34+ Hematopoietic Stem Cells|in_vitro|ctrl|Control|N/A|Genetic
GSM2752442|N/A|N/A|N/A|N/A|DNMT3A transcript 4|N/A|Whole Blood|CD34+ Hematopoietic Stem Cells|in_vitro|ctrl|Control|N/A|Genetic
GSM2752443|N/A|N/A|N/A|N/A|Control|N/A|Whole Blood|CD34+ Hematopoietic Stem Cells|in_vitro|ctrl|Control|N/A|None
GSM2752444|N/A|N/A|N/A|N/A|DNMT3A transcripts 1+3|N/A|Whole Blood|CD34+ Hematopoietic Stem Cells|in_vitro|ctrl|Control|N/A|Genetic
GSM2752445|N/A|N/A|N/A|N/A|DNMT3A transcript 2|N/A|Whole Blood|CD34+ Hematopoietic Stem Cells|in_vitro|ctrl|Control|N/A|Genetic
GSM2752446|N/A|N/A|N/A|N/A|DNMT3A transcript 4|N/A|Whole Blood|CD34+ Hematopoietic Stem Cells|in_vitro|ctrl|Control|N/A|Genetic
GSM2752447|N/A|N/A|N/A|N/A|Control|N/A|Whole Blood|CD34+ Hematopoietic Stem Cells|in_vitro|ctrl|Control|N/A|None
GSM2752448|N/A|N/A|N/A|N/A|DNMT3A transcripts 1+3|N/A|Whole Blood|CD34+ Hematopoietic Stem Cells|in_vitro|ctrl|Control|N/A|Genetic
GSM2752449|N/A|N/A|N/A|N/A|DNMT3A transcript 2|N/A|Whole Blood|CD34+ Hematopoietic Stem Cells|in_vitro|ctrl|Control|N/A|Genetic
GSM2752450|N/A|N/A|N/A|N/A|DNMT3A transcript 4|N/A|Whole Blood|CD34+ Hematopoietic Stem Cells|in_vitro|ctrl|Control|N/A|Genetic
GSM2752451|N/A|N/A|N/A|N/A|Control|N/A|Whole Blood|CD34+ Hematopoietic Stem Cells|in_vitro|ctrl|Control|N/A|None
GSM2752452|N/A|N/A|N/A|N/A|DNMT3A transcripts 1+3|N/A|Whole Blood|CD34+ Hematopoietic Stem Cells|in_vitro|case|Overexpression|N/A|Genetic
GSM2752453|N/A|N/A|N/A|N/A|DNMT3A transcript 2|N/A|Whole Blood|CD34+ Hematopoietic Stem Cells|in_vitro|case|Overexpression|N/A|Genetic
GSM2752454|N/A|N/A|N/A|N/A|DNMT3A transcript 4|N/A|Whole Blood|CD34+ Hematopoietic Stem Cells|in_vitro|case|Overexpression|N/A|Genetic
GSM2752455|N/A|N/A|N/A|N/A|Control|N/A|Whole Blood|CD34+ Hematopoietic Stem Cells|in_vitro|case|Overexpression|N/A|None
GSM2752456|N/A|N/A|N/A|N/A|DNMT3A transcripts 1+3|N/A|Whole Blood|CD34+ Hematopoietic Stem Cells|in_vitro|case|Overexpression|N/A|Genetic
GSM2752457|N/A|N/A|N/A|N/A|DNMT3A transcript 2|N/A|Whole Blood|CD34+ Hematopoietic Stem Cells|in_vitro|case|Overexpression|N/A|Genetic
GSM2752458|N/A|N/A|N/A|N/A|DNMT3A transcript 4|N/A|Whole Blood|CD34+ Hematopoietic Stem Cells|in_vitro|case|Overexpression|N/A|Genetic
GSM2752459|N/A|N/A|N/A|N/A|Control|N/A|Whole Blood|CD34+ Hematopoietic Stem Cells|in_vitro|case|Overexpression|N/A|None
GSM2752460|N/A|N/A|N/A|N/A|DNMT3A transcripts 1+3|N/A|Whole Blood|CD34+ Hematopoietic Stem Cells|in_vitro|case|Overexpression|N/A|Genetic
GSM2752461|N/A|N/A|N/A|N/A|DNMT3A transcript 2|N/A|Whole Blood|CD34+ Hematopoietic Stem Cells|in_vitro|case|Overexpression|N/A|Genetic
GSM2752462|N/A|N/A|N/A|N/A|DNMT3A transcript 4|N/A|Whole Blood|CD34+ Hematopoietic Stem Cells|in_vitro|case|Overexpression|N/A|Genetic
GSM2752463|N/A|N/A|N/A|N/A|Control|N/A|Whole Blood|CD34+ Hematopoietic Stem Cells|in_vitro|case|Overexpression|N/A|None
