GSM620814|N/A|N/A|N/A|N/A|N/A|N/A|Whole Blood|PNET|in_vitro|ctrl|N/A|untreated|N/A
GSM620815|N/A|N/A|N/A|N/A|N/A|N/A|Whole Blood|PNET|in_vitro|ctrl|N/A|untreated|N/A
GSM620816|N/A|N/A|N/A|N/A|N/A|N/A|Whole Blood|PNET|in_vitro|ctrl|N/A|untreated|N/A
GSM620818|N/A|N/A|N/A|N/A|N/A|N/A|Whole Blood|PNET|in_vitro|ctrl|N/A|untreated|N/A
GSM620819|N/A|N/A|N/A|N/A|N/A|N/A|Whole Blood|PNET|in_vitro|ctrl|N/A|untreated|N/A
GSM620821|N/A|N/A|N/A|N/A|N/A|N/A|Whole Blood|PNET|in_vitro|case|N/A|30 nM Decitabine and 25 nM trichostatin A|Small Molecule
GSM620822|N/A|N/A|N/A|N/A|N/A|N/A|Whole Blood|PNET|in_vitro|case|N/A|30 nM Decitabine and 25 nM trichostatin A|Small Molecule
GSM620823|N/A|N/A|N/A|N/A|N/A|N/A|Whole Blood|PNET|in_vitro|case|N/A|30 nM Decitabine and 25 nM trichostatin A|Small Molecule
GSM620824|N/A|N/A|N/A|N/A|N/A|N/A|Whole Blood|PNET|in_vitro|case|N/A|30 nM Decitabine and 25 nM trichostatin A|Small Molecule
GSM620825|N/A|N/A|N/A|N/A|N/A|N/A|Whole Blood|PNET|in_vitro|case|N/A|30 nM Decitabine and 25 nM trichostatin A|Small Molecule
GSM869860|N/A|N/A|F|N/A|N/A|N/A|Cells|NBL|in_vitro|ctrl|N/A|untreated|N/A
GSM869861|N/A|N/A|F|N/A|N/A|N/A|Cells|NBL|in_vitro|ctrl|N/A|untreated|N/A
GSM869862|N/A|N/A|F|N/A|N/A|N/A|Cells|NBL|in_vitro|ctrl|N/A|untreated|N/A
GSM869864|N/A|N/A|M|N/A|N/A|N/A|Cells|NBL|in_vitro|ctrl|N/A|untreated|N/A
GSM869865|N/A|N/A|M|N/A|N/A|N/A|Cells|NBL|in_vitro|ctrl|N/A|untreated|N/A
GSM869867|N/A|N/A|M|N/A|N/A|N/A|Cells|NBL|in_vitro|ctrl|N/A|untreated|N/A
GSM869869|N/A|N/A|F|N/A|N/A|N/A|Cells|NBL|in_vitro|ctrl|N/A|untreated|N/A
GSM869870|N/A|N/A|F|N/A|N/A|N/A|Cells|NBL|in_vitro|ctrl|N/A|untreated|N/A
