GSM1099013|N/A|N/A|N/A|N/A|R132H-IDH1|Oligodendroglioma|Brain|N/A|in_vitro|ctrl|DMSO_2_passages|DMSO|Small Molecule
GSM1099014|N/A|N/A|N/A|N/A|R132H-IDH1|Oligodendroglioma|Brain|N/A|in_vitro|ctrl|DMSO_2_passages_replicate|DMSO|Small Molecule
GSM1099015|N/A|N/A|N/A|N/A|R132H-IDH1|Oligodendroglioma|Brain|N/A|in_vitro|case|AGI-5198_2_passages|AGI-5198|Small Molecule
GSM1099016|N/A|N/A|N/A|N/A|R132H-IDH1|Oligodendroglioma|Brain|N/A|in_vitro|case|AGI-5198_2_passages_replicate|AGI-5198|Small Molecule
GSM1099017|N/A|N/A|N/A|N/A|R132H-IDH1|Oligodendroglioma|Brain|N/A|in_vitro|ctrl|DMSO_4_passages|DMSO|Small Molecule
GSM1099018|N/A|N/A|N/A|N/A|R132H-IDH1|Oligodendroglioma|Brain|N/A|in_vitro|ctrl|DMSO_4_passages_replicate|DMSO|Small Molecule
GSM1099019|N/A|N/A|N/A|N/A|R132H-IDH1|Oligodendroglioma|Brain|N/A|in_vitro|case|AGI-5198_4_passages|AGI-5198|Small Molecule
GSM1099020|N/A|N/A|N/A|N/A|R132H-IDH1|Oligodendroglioma|Brain|N/A|in_vitro|case|AGI-5198_4_passages_replicate|AGI-5198|Small Molecule
GSM1099021|N/A|N/A|N/A|N/A|R132H-IDH1|Oligodendroglioma|Brain|N/A|in_vitro|ctrl|DMSO_15_passages|DMSO|Small Molecule
GSM1099022|N/A|N/A|N/A|N/A|R132H-IDH1|Oligodendroglioma|Brain|N/A|in_vitro|ctrl|DMSO_15_passages_replicate|DMSO|Small Molecule
GSM1099023|N/A|N/A|N/A|N/A|R132H-IDH1|Oligodendroglioma|Brain|N/A|in_vitro|case|AGI-5198_15_passages|AGI-5198|Small Molecule
GSM1099024|N/A|N/A|N/A|N/A|R132H-IDH1|Oligodendroglioma|Brain|N/A|in_vitro|case|AGI-5198_15_passages_replicate|AGI-5198|Small Molecule
GSM1099025|N/A|N/A|N/A|N/A|R132H-IDH1|Oligodendroglioma|Brain|N/A|in_vitro|ctrl|DMSO_20_passages|DMSO|Small Molecule
GSM1099026|N/A|N/A|N/A|N/A|R132H-IDH1|Oligodendroglioma|Brain|N/A|in_vitro|ctrl|DMSO_20_passages_replicate|DMSO|Small Molecule
GSM1099027|N/A|N/A|N/A|N/A|R132H-IDH1|Oligodendroglioma|Brain|N/A|in_vitro|case|AGI-5198_20_passages|AGI-5198|Small Molecule
GSM1099028|N/A|N/A|N/A|N/A|R132H-IDH1|Oligodendroglioma|Brain|N/A|in_vitro|case|AGI-5198_20_passages_replicate|AGI-5198|Small Molecule
