GSM2635329|1|N/A|M|N/A|N/A|Healthy|N/A|Sperm|in_vivo|ctrl|Donor 1|N/A|N/A
GSM2635330|2|N/A|M|N/A|N/A|Healthy|N/A|Sperm|in_vivo|ctrl|Donor 2|N/A|N/A
GSM2635331|3|N/A|M|N/A|N/A|Healthy|N/A|Sperm|in_vivo|ctrl|Donor 3|N/A|N/A
GSM2635332|4|N/A|M|N/A|N/A|Healthy|N/A|Sperm|in_vivo|ctrl|Donor 4|N/A|N/A
GSM2635333|5|N/A|M|N/A|N/A|Healthy|N/A|Sperm|in_vivo|ctrl|Donor 5|N/A|N/A
GSM2635334|6|N/A|M|N/A|N/A|Healthy|N/A|Sperm|in_vivo|ctrl|Donor 6|N/A|N/A
GSM2635335|7|N/A|M|N/A|N/A|Healthy|N/A|Sperm|in_vivo|ctrl|Donor 7|N/A|N/A
GSM2635336|8|N/A|M|N/A|N/A|Healthy|N/A|Sperm|in_vivo|ctrl|Donor 8|N/A|N/A
GSM2635337|9|N/A|M|N/A|N/A|Healthy|N/A|Sperm|in_vivo|ctrl|Donor 9|N/A|N/A
GSM2635338|10|N/A|M|N/A|N/A|Healthy|N/A|Sperm|in_vivo|ctrl|Donor 10|N/A|N/A
GSM2635339|11|N/A|M|N/A|N/A|Healthy|N/A|Sperm|in_vivo|ctrl|Donor 11|N/A|N/A
GSM2635340|12|N/A|M|N/A|N/A|Healthy|N/A|Sperm|in_vivo|ctrl|Donor 12|N/A|N/A
GSM2635341|13|N/A|M|N/A|N/A|Healthy|N/A|Sperm|in_vivo|ctrl|Donor 13|N/A|N/A
GSM2635342|14|N/A|M|N/A|N/A|Healthy|N/A|Sperm|in_vivo|ctrl|Donor 14|N/A|N/A
GSM2635343|15|N/A|M|N/A|N/A|Healthy|N/A|Sperm|in_vivo|ctrl|Donor 15|N/A|N/A
GSM2635344|16|N/A|M|N/A|N/A|Healthy|N/A|Sperm|in_vivo|ctrl|Donor 16|N/A|N/A
GSM2635345|17|N/A|M|N/A|N/A|Healthy|N/A|Sperm|in_vivo|ctrl|Donor 17|N/A|N/A
GSM2635346|18|N/A|M|N/A|N/A|Healthy|N/A|Sperm|in_vivo|ctrl|Donor 18|N/A|N/A
GSM2635347|19|N/A|M|N/A|N/A|Healthy|N/A|Sperm|in_vivo|ctrl|Donor 19|N/A|N/A
