GSM815136|N/A|N/A|N/A|N/A|wild type|N/A|Colon|HCT116|in_vitro|N/A|N/A|N/A|Genetic
GSM815137|N/A|N/A|N/A|N/A|wild type|N/A|Colon|HCT116|in_vitro|N/A|N/A|N/A|Genetic
GSM815138|N/A|N/A|N/A|N/A|wild type|N/A|Colon|HCT116|in_vitro|N/A|N/A|N/A|Genetic
GSM815139|N/A|N/A|N/A|N/A|DNMT1 and DNMT3B double KO|N/A|Colon|HCT116|in_vitro|N/A|N/A|N/A|Genetic
GSM815140|N/A|N/A|N/A|N/A|DNMT1 and DNMT3B double KO|N/A|Colon|HCT116|in_vitro|N/A|N/A|N/A|Genetic
GSM815141|N/A|N/A|N/A|N/A|DNMT1 and DNMT3B double KO|N/A|Colon|HCT116|in_vitro|N/A|N/A|N/A|Genetic
GSM815142|N/A|N/A|N/A|N/A|normal breast|N/A|Breast|N/A|in_vivo|ctrl|N/A|N/A|Disease
GSM815143|N/A|N/A|N/A|N/A|normal breast|N/A|Breast|N/A|in_vivo|ctrl|N/A|N/A|Disease
GSM815144|N/A|N/A|N/A|N/A|normal breast|N/A|Breast|N/A|in_vivo|ctrl|N/A|N/A|Disease
GSM815145|N/A|N/A|N/A|N/A|normal breast|N/A|Breast|N/A|in_vivo|ctrl|N/A|N/A|Disease
GSM815146|N/A|N/A|N/A|N/A|normal breast|N/A|Breast|N/A|in_vivo|ctrl|N/A|N/A|Disease
GSM815147|N/A|N/A|N/A|N/A|normal breast|N/A|Breast|N/A|in_vivo|ctrl|N/A|N/A|Disease
GSM815148|N/A|N/A|N/A|N/A|normal breast|N/A|Breast|N/A|in_vivo|ctrl|N/A|N/A|Disease
GSM815149|N/A|N/A|N/A|N/A|normal breast|N/A|Breast|N/A|in_vivo|ctrl|N/A|N/A|Disease
GSM815150|N/A|N/A|N/A|N/A|breast cancer tumor|N/A|Breast|N/A|in_vivo|case|N/A|N/A|Disease
GSM815151|N/A|N/A|N/A|N/A|breast cancer tumor|N/A|Breast|N/A|in_vivo|case|N/A|N/A|Disease
GSM815152|N/A|N/A|N/A|N/A|breast cancer tumor|N/A|Breast|N/A|in_vivo|case|N/A|N/A|Disease
GSM815153|N/A|N/A|N/A|N/A|breast cancer tumor|N/A|Breast|N/A|in_vivo|case|N/A|N/A|Disease
GSM815154|N/A|N/A|N/A|N/A|breast cancer tumor|N/A|Breast|N/A|in_vivo|case|N/A|N/A|Disease
GSM815155|N/A|N/A|N/A|N/A|breast cancer tumor|N/A|Breast|N/A|in_vivo|case|N/A|N/A|Disease
GSM815156|N/A|N/A|N/A|N/A|breast cancer tumor|N/A|Breast|N/A|in_vivo|case|N/A|N/A|Disease
GSM815157|N/A|N/A|N/A|N/A|breast cancer tumor|N/A|Breast|N/A|in_vivo|case|N/A|N/A|Disease
