GSM1446555|71417|N/A|N/A|N/A|N/A|healthy|Cells|N/A|in_vitro|ctrl|monocyte|N/A|None
GSM1446556|82640|N/A|N/A|N/A|N/A|healthy|Cells|N/A|in_vitro|ctrl|monocyte|N/A|None
GSM1446557|89500|N/A|N/A|N/A|N/A|healthy|Cells|N/A|in_vitro|ctrl|monocyte|N/A|None
GSM1446558|104283|N/A|N/A|N/A|N/A|healthy|Cells|N/A|in_vitro|ctrl|monocyte|N/A|None
GSM1446559|71417|N/A|N/A|N/A|N/A|healthy|Cells|N/A|in_vitro|case|immature_dendritic_cells|N/A|None
GSM1446560|82640|N/A|N/A|N/A|N/A|healthy|Cells|N/A|in_vitro|case|immature_dendritic_cells|N/A|None
GSM1446561|89500|N/A|N/A|N/A|N/A|healthy|Cells|N/A|in_vitro|case|immature_dendritic_cells|N/A|None
GSM1446562|104283|N/A|N/A|N/A|N/A|healthy|Cells|N/A|in_vitro|case|immature_dendritic_cells|N/A|None
GSM1446563|71417|N/A|N/A|N/A|N/A|healthy|Cells|N/A|in_vitro|case|mature_dendritic_cells|N/A|None
GSM1446564|82640|N/A|N/A|N/A|N/A|healthy|Cells|N/A|in_vitro|case|mature_dendritic_cells|N/A|None
GSM1446565|89500|N/A|N/A|N/A|N/A|healthy|Cells|N/A|in_vitro|case|mature_dendritic_cells|N/A|None
GSM1446566|104283|N/A|N/A|N/A|N/A|healthy|Cells|N/A|in_vitro|case|mature_dendritic_cells|N/A|None
