GSM1614085|N/A|N/A|N/A|N/A|N/A|Lung Cancer|Lung|SCLC cell line H82|in_vitro|N/A|N/A|FBS|N/A
GSM1614086|N/A|N/A|N/A|N/A|N/A|Lung Cancer|Lung|SCLC cell line H82|in_vitro|N/A|N/A|GCRA|N/A
GSM1614087|N/A|N/A|N/A|N/A|N/A|Lung Cancer|Lung|SCLC cell line H82|in_vitro|N/A|N/A|COMB|N/A
GSM1614088|N/A|N/A|N/A|N/A|N/A|Lung Cancer|Lung|SCLC cell line H82|in_vitro|N/A|N/A|shBRG1_FBS|N/A
GSM1614089|N/A|N/A|N/A|N/A|N/A|Lung Cancer|Lung|SCLC cell line H82|in_vitro|N/A|N/A|shBRG1_GCRA|N/A
GSM1614090|N/A|N/A|N/A|N/A|N/A|Lung Cancer|Lung|SCLC cell line H82|in_vitro|N/A|N/A|shBRG1_COMB|N/A
GSM1614091|N/A|N/A|N/A|N/A|N/A|Lung Cancer|Lung|NSCLC cell line H460|in_vitro|N/A|N/A|FBS|N/A
GSM1614092|N/A|N/A|N/A|N/A|N/A|Lung Cancer|Lung|NSCLC cell line H460|in_vitro|N/A|N/A|GCRA|N/A
GSM1614093|N/A|N/A|N/A|N/A|N/A|Lung Cancer|Lung|NSCLC cell line H460|in_vitro|N/A|N/A|COMB|N/A
GSM1614094|N/A|N/A|N/A|N/A|N/A|Lung Cancer|Lung|NSCLC cell line H460|in_vitro|N/A|N/A|shBRG1_FBS|N/A
GSM1614095|N/A|N/A|N/A|N/A|N/A|Lung Cancer|Lung|NSCLC cell line H460|in_vitro|N/A|N/A|shBRG1_GCRA|N/A
GSM1614096|N/A|N/A|N/A|N/A|N/A|Lung Cancer|Lung|NSCLC cell line H460|in_vitro|N/A|N/A|shBRG1_COMB|N/A
GSM1614097|N/A|N/A|N/A|N/A|N/A|Lung Cancer|Lung|NSCLC cell line A549|in_vitro|N/A|N/A|FBS|N/A
GSM1614098|N/A|N/A|N/A|N/A|N/A|Lung Cancer|Lung|NSCLC cell line A549|in_vitro|N/A|N/A|GCRA|N/A
GSM1614099|N/A|N/A|N/A|N/A|N/A|Lung Cancer|Lung|NSCLC cell line A549|in_vitro|N/A|N/A|COMB|N/A
GSM1614100|N/A|N/A|N/A|N/A|N/A|Lung Cancer|Lung|SCLC cell line DMS114|in_vitro|N/A|N/A|FBS|N/A
GSM1614101|N/A|N/A|N/A|N/A|N/A|Lung Cancer|Lung|SCLC cell line DMS114|in_vitro|N/A|N/A|GCRA|N/A
GSM1614102|N/A|N/A|N/A|N/A|N/A|Lung Cancer|Lung|SCLC cell line DMS114|in_vitro|N/A|N/A|COMB|N/A
GSM1714414|N/A|N/A|N/A|N/A|N/A|Lung Cancer|Lung|H1299|in_vitro|N/A|N/A|FBS|N/A
GSM1714415|N/A|N/A|N/A|N/A|N/A|Lung Cancer|Lung|H1299|in_vitro|N/A|N/A|GCRA|N/A
GSM1714416|N/A|N/A|N/A|N/A|N/A|Lung Cancer|Lung|H1299|in_vitro|N/A|N/A|COMB|N/A
