GSM2152671|N/A|N/A|N/A|N/A|human induced pluripotent stem cells|N/A|Cells|N/A|in_vitro|N/A|N/A|N/A|Genetic
GSM2152672|N/A|N/A|N/A|N/A|human induced pluripotent stem cells|N/A|Cells|N/A|in_vitro|N/A|N/A|N/A|Genetic
GSM2152673|N/A|N/A|N/A|N/A|human induced pluripotent stem cells|N/A|Cells|N/A|in_vitro|N/A|N/A|N/A|Genetic
GSM2152674|N/A|N/A|N/A|N/A|human induced pluripotent stem cells|N/A|Cells|N/A|in_vitro|N/A|N/A|N/A|Genetic
GSM2152675|N/A|N/A|N/A|N/A|human induced pluripotent stem cells|N/A|Cells|N/A|in_vitro|N/A|N/A|N/A|Genetic
GSM2152676|N/A|N/A|N/A|N/A|human induced pluripotent stem cells|N/A|Cells|N/A|in_vitro|N/A|N/A|N/A|Genetic
GSM2152677|N/A|N/A|N/A|N/A|human induced pluripotent stem cells|N/A|Cells|N/A|in_vitro|N/A|N/A|N/A|Genetic
GSM2152678|N/A|N/A|N/A|N/A|human induced pluripotent stem cells|N/A|Cells|N/A|in_vitro|N/A|N/A|N/A|Genetic
GSM2152679|N/A|N/A|N/A|N/A|human induced pluripotent stem cells|N/A|Cells|N/A|in_vitro|N/A|N/A|N/A|Genetic
GSM2152680|N/A|N/A|N/A|N/A|human induced pluripotent stem cells|N/A|Cells|N/A|in_vitro|N/A|N/A|N/A|Genetic
GSM2152681|N/A|N/A|N/A|N/A|human induced pluripotent stem cells|N/A|Cells|N/A|in_vitro|N/A|N/A|N/A|Genetic
GSM2152682|N/A|N/A|N/A|N/A|human induced pluripotent stem cells|N/A|Cells|N/A|in_vitro|N/A|N/A|N/A|Genetic
