GSM2140588|N/A|N/A|N/A|N/A|wild type|colorectal cancer|Colon|HCT8|in_vitro|ctrl|HCT8/WT 0h|5-fluorouracil|Small Molecule
GSM2140589|N/A|N/A|N/A|N/A|wild type|colorectal cancer|Colon|HCT8|in_vitro|ctrl|HCT8/WT 0h|5-fluorouracil|Small Molecule
GSM2140590|N/A|N/A|N/A|N/A|wild type|colorectal cancer|Colon|HCT8|in_vitro|ctrl|HCT8/WT 0h|5-fluorouracil|Small Molecule
GSM2140591|N/A|N/A|N/A|N/A|wild type|colorectal cancer|Colon|HCT8|in_vitro|case|HCT8/WT 72h|5-fluorouracil|Small Molecule
GSM2140592|N/A|N/A|N/A|N/A|wild type|colorectal cancer|Colon|HCT8|in_vitro|case|HCT8/WT 72h|5-fluorouracil|Small Molecule
GSM2140593|N/A|N/A|N/A|N/A|wild type|colorectal cancer|Colon|HCT8|in_vitro|case|HCT8/WT 72h|5-fluorouracil|Small Molecule
GSM2140594|N/A|N/A|N/A|N/A|5-FU-induced resistant|colorectal cancer|Colon|HCT8/5Fu|in_vitro|ctrl|HCT8/5-FU 0h|5-fluorouracil|Small Molecule
GSM2140595|N/A|N/A|N/A|N/A|5-FU-induced resistant|colorectal cancer|Colon|HCT8/5Fu|in_vitro|ctrl|HCT8/5-FU 0h|5-fluorouracil|Small Molecule
GSM2140596|N/A|N/A|N/A|N/A|5-FU-induced resistant|colorectal cancer|Colon|HCT8/5Fu|in_vitro|ctrl|HCT8/5-FU 0h|5-fluorouracil|Small Molecule
GSM2140597|N/A|N/A|N/A|N/A|5-FU-induced resistant|colorectal cancer|Colon|HCT8/5Fu|in_vitro|case|HCT8/5-FU 72h|5-fluorouracil|Small Molecule
GSM2140598|N/A|N/A|N/A|N/A|5-FU-induced resistant|colorectal cancer|Colon|HCT8/5Fu|in_vitro|case|HCT8/5-FU 72h|5-fluorouracil|Small Molecule
GSM2140599|N/A|N/A|N/A|N/A|5-FU-induced resistant|colorectal cancer|Colon|HCT8/5Fu|in_vitro|case|HCT8/5-FU 72h|5-fluorouracil|Small Molecule
