GSM121581|N/A|N/A|N/A|N/A|N/A|Colorectal Cancer|Cells|HCT116|in_vitro|ctrl|N/A|N/A|N/A
GSM121582|N/A|N/A|N/A|N/A|N/A|Colorectal Cancer|Cells|HCT116|in_vitro|ctrl|N/A|N/A|N/A
GSM121583|N/A|N/A|N/A|N/A|N/A|Colorectal Cancer|Cells|HCT116|in_vitro|ctrl|N/A|N/A|N/A
GSM121584|N/A|N/A|N/A|N/A|N/A|Colorectal Cancer|Cells|HCT116|in_vitro|ctrl|N/A|N/A|N/A
GSM121585|N/A|N/A|N/A|N/A|N/A|Colorectal Cancer|Cells|HCT116|in_vitro|ctrl|N/A|N/A|N/A
GSM121586|N/A|N/A|N/A|N/A|N/A|Colorectal Cancer|Cells|HCT116|in_vitro|ctrl|N/A|N/A|N/A
GSM121587|N/A|N/A|N/A|N/A|N/A|Colorectal Cancer|Cells|HCT116|in_vitro|ctrl|N/A|N/A|N/A
GSM121588|N/A|N/A|N/A|N/A|N/A|Colorectal Cancer|Cells|HCT116|in_vitro|ctrl|N/A|N/A|N/A
GSM121589|N/A|N/A|N/A|N/A|N/A|Colorectal Cancer|Cells|HCT116|in_vitro|ctrl|N/A|N/A|N/A
GSM121590|N/A|N/A|N/A|N/A|N/A|Colorectal Cancer|Cells|HCT116|in_vitro|ctrl|N/A|N/A|N/A
GSM121591|N/A|N/A|N/A|N/A|N/A|Colorectal Cancer|Cells|HCT116|in_vitro|ctrl|N/A|N/A|N/A
GSM121592|N/A|N/A|N/A|N/A|N/A|Colorectal Cancer|Cells|HCT116|in_vitro|ctrl|N/A|N/A|N/A
GSM121593|N/A|N/A|N/A|N/A|N/A|Colorectal Cancer|Cells|HCT116|in_vitro|ctrl|N/A|N/A|N/A
GSM121594|N/A|N/A|N/A|N/A|N/A|Colorectal Cancer|Cells|HCT116|in_vitro|ctrl|N/A|N/A|N/A
GSM121595|N/A|N/A|N/A|N/A|N/A|Colorectal Cancer|Cells|HCT116|in_vitro|ctrl|N/A|N/A|N/A
GSM121596|N/A|N/A|N/A|N/A|N/A|Colorectal Cancer|Cells|HCT116|in_vitro|ctrl|N/A|N/A|N/A
