GSM1229453|N/A|N/A|F|N/A|N/A|healthy|Other|Common myeloid progenitor|in_vivo|N/A|N/A|N/A|N/A
GSM1229454|N/A|N/A|M|N/A|N/A|healthy|Other|Common myeloid progenitor|in_vivo|N/A|N/A|N/A|N/A
GSM1229455|N/A|N/A|M|N/A|N/A|healthy|Other|Common myeloid progenitor|in_vivo|N/A|N/A|N/A|N/A
GSM1229456|N/A|N/A|F|N/A|N/A|healthy|Other|Granulocyte-macrophage progenitor|in_vivo|N/A|N/A|N/A|N/A
GSM1229457|N/A|N/A|M|N/A|N/A|healthy|Other|Granulocyte-macrophage progenitor|in_vivo|N/A|N/A|N/A|N/A
GSM1229458|N/A|N/A|M|N/A|N/A|healthy|Other|Granulocyte-macrophage progenitor|in_vivo|N/A|N/A|N/A|N/A
GSM1229459|N/A|N/A|F|N/A|N/A|healthy|Other|Peritoneal Macrophages|in_vivo|N/A|N/A|N/A|N/A
GSM1229460|N/A|N/A|M|N/A|N/A|healthy|Other|Peritoneal Macrophages|in_vivo|N/A|N/A|N/A|N/A
GSM1229461|N/A|N/A|M|N/A|N/A|healthy|Other|Peritoneal Macrophages|in_vivo|N/A|N/A|N/A|N/A
GSM1229462|N/A|N/A|F|N/A|N/A|healthy|Other|Polymorphonuclear Neutrophil|in_vivo|N/A|N/A|N/A|N/A
GSM1229463|N/A|N/A|M|N/A|N/A|healthy|Other|Polymorphonuclear Neutrophil|in_vivo|N/A|N/A|N/A|N/A
GSM1229464|N/A|N/A|M|N/A|N/A|healthy|Other|Polymorphonuclear Neutrophil|in_vivo|N/A|N/A|N/A|N/A
