GSM1270013|N/A|N/A|F|N/A|N/A|Healthy|Brain|N/A|in_vivo|N/A|N/A|N/A|N/A
GSM1270014|N/A|N/A|F|N/A|N/A|Healthy|Brain|N/A|in_vivo|N/A|N/A|N/A|N/A
GSM1270015|N/A|N/A|F|N/A|N/A|Healthy|Muscle|N/A|in_vivo|N/A|N/A|N/A|N/A
GSM1270016|N/A|N/A|M|N/A|N/A|Healthy|Pancreas|N/A|in_vivo|N/A|N/A|N/A|N/A
GSM1270017|N/A|N/A|M|N/A|N/A|Healthy|Liver|N/A|in_vivo|N/A|N/A|N/A|N/A
GSM1270018|N/A|N/A|F|N/A|N/A|Hydropic molar tissue|Other|N/A|in_vivo|N/A|N/A|N/A|Disease
GSM1270019|N/A|N/A|F|N/A|N/A|Hydropic molar tissue|Other|N/A|in_vivo|N/A|N/A|N/A|Disease
GSM1270020|N/A|N/A|F|N/A|N/A|Hydropic molar tissue|Other|N/A|in_vivo|N/A|N/A|N/A|Disease
GSM1270021|N/A|N/A|F|N/A|N/A|Hydropic molar tissue|Other|N/A|in_vivo|N/A|N/A|N/A|Disease
GSM1270022|N/A|N/A|F|N/A|N/A|Healthy|Other|N/A|in_vivo|N/A|N/A|N/A|N/A
GSM1270023|N/A|N/A|M|N/A|N/A|Healthy|Other|N/A|in_vivo|N/A|N/A|N/A|N/A
GSM1270024|N/A|N/A|F|N/A|N/A|Healthy|Other|N/A|in_vivo|N/A|N/A|N/A|N/A
GSM1270025|N/A|N/A|F|N/A|N/A|Healthy|Other|N/A|in_vivo|N/A|N/A|N/A|N/A
GSM1270026|N/A|N/A|M|N/A|N/A|Healthy|N/A|Sperm|in_vitro|N/A|N/A|N/A|N/A
GSM1270027|N/A|N/A|M|N/A|N/A|Healthy|N/A|Sperm|in_vitro|N/A|N/A|N/A|N/A
GSM1270028|N/A|N/A|M|N/A|N/A|Healthy|N/A|Human embryonic stem cells|in_vitro|N/A|N/A|N/A|Genetic
GSM1270029|N/A|N/A|N/A|N/A|N/A|Healthy|N/A|Human embryonic stem cells|in_vitro|N/A|N/A|N/A|Genetic
GSM1270030|N/A|N/A|F|N/A|N/A|Healthy|N/A|Human embryonic stem cells|in_vitro|N/A|N/A|N/A|Genetic
GSM1270031|N/A|N/A|M|N/A|N/A|Healthy|N/A|Human embryonic stem cells|in_vitro|N/A|N/A|N/A|Genetic
GSM1270032|N/A|N/A|F|N/A|N/A|Healthy|N/A|Parthenogenetic activated oocytes|in_vitro|N/A|N/A|N/A|Genetic
GSM1270033|N/A|N/A|F|N/A|N/A|Healthy|N/A|Parthenogenetic activated oocytes|in_vitro|N/A|N/A|N/A|Genetic
GSM1270034|N/A|N/A|F|N/A|N/A|Healthy|N/A|Parthenogenetic activated oocytes|in_vitro|N/A|N/A|N/A|Genetic
GSM1270035|N/A|N/A|F|N/A|N/A|Healthy|N/A|Parthenogenetic activated oocytes|in_vitro|N/A|N/A|N/A|Genetic
GSM1270036|N/A|N/A|F|N/A|N/A|Beckwith Wiedemann-like|Whole Blood|Leukocytes|in_vivo|N/A|N/A|N/A|Disease
GSM1270037|N/A|N/A|F|N/A|N/A|Beckwith Wiedemann-like|Whole Blood|Leukocytes|in_vivo|N/A|N/A|N/A|Disease
GSM1270038|N/A|N/A|F|N/A|N/A|Beckwith Wiedemann-like|Whole Blood|Leukocytes|in_vivo|N/A|N/A|N/A|Disease
GSM1270039|N/A|N/A|F|N/A|N/A|Beckwith Wiedemann-like|Whole Blood|Leukocytes|in_vivo|N/A|N/A|N/A|Disease
GSM1270040|N/A|N/A|F|N/A|N/A|Silver Russell-like|Whole Blood|Leukocytes|in_vivo|N/A|N/A|N/A|Disease
