GSM1365906|N/A|N/A|N/A|N/A|N/A|ovarian cancer|N/A|SKOV3|in_vitro|ctrl|control|N/A|None
GSM1365907|N/A|N/A|N/A|N/A|N/A|ovarian cancer|N/A|SKOV3|in_vitro|ctrl|control|N/A|None
GSM1365908|N/A|N/A|N/A|N/A|N/A|ovarian cancer|N/A|SKOV3|in_vitro|ctrl|control|N/A|None
GSM1365909|N/A|N/A|N/A|N/A|N/A|ovarian cancer|N/A|SKOV3|in_vitro|case|TGF-beta 48H|TGF-beta|Small Molecule
GSM1365910|N/A|N/A|N/A|N/A|N/A|ovarian cancer|N/A|SKOV3|in_vitro|case|TGF-beta 48H|TGF-beta|Small Molecule
GSM1365911|N/A|N/A|N/A|N/A|N/A|ovarian cancer|N/A|SKOV3|in_vitro|case|TGF-beta 48H|TGF-beta|Small Molecule
GSM1365912|N/A|N/A|N/A|N/A|N/A|ovarian cancer|N/A|SKOV3|in_vitro|case|TGF-beta 120H|TGF-beta|Small Molecule
GSM1365913|N/A|N/A|N/A|N/A|N/A|ovarian cancer|N/A|SKOV3|in_vitro|case|TGF-beta 120H|TGF-beta|Small Molecule
GSM1365914|N/A|N/A|N/A|N/A|N/A|ovarian cancer|N/A|SKOV3|in_vitro|case|TGF-beta 120H|TGF-beta|Small Molecule
GSM1365915|N/A|N/A|N/A|N/A|N/A|ovarian cancer|N/A|SKOV3|in_vitro|case|TGF-beta 120+48H|TGF-beta|Small Molecule
GSM1365916|N/A|N/A|N/A|N/A|N/A|ovarian cancer|N/A|SKOV3|in_vitro|case|TGF-beta 120+48H|TGF-beta|Small Molecule
GSM1365917|N/A|N/A|N/A|N/A|N/A|ovarian cancer|N/A|SKOV3|in_vitro|case|TGF-beta 120+48H|TGF-beta|Small Molecule
