GSM5151705|Donor_1|N/A|N/A|N/A|N/A|Healthy|Whole Blood|Monocyte|in_vivo|ctrl|Baseline|N/A|None
GSM5151706|Donor_2|N/A|N/A|N/A|N/A|Healthy|Whole Blood|Monocyte|in_vivo|ctrl|Baseline|N/A|None
GSM5151707|Donor_3|N/A|N/A|N/A|N/A|Healthy|Whole Blood|Monocyte|in_vivo|ctrl|Baseline|N/A|None
GSM5151708|Donor_4|N/A|N/A|N/A|N/A|Healthy|Whole Blood|Monocyte|in_vivo|ctrl|Baseline|N/A|None
GSM5151709|Donor_5|N/A|N/A|N/A|N/A|Healthy|Whole Blood|Monocyte|in_vivo|ctrl|Baseline|N/A|None
GSM5151710|Donor_1|N/A|N/A|N/A|N/A|Healthy|Whole Blood|Monocyte|in_vivo|ctrl|24h_RPMI|N/A|None
GSM5151711|Donor_2|N/A|N/A|N/A|N/A|Healthy|Whole Blood|Monocyte|in_vivo|ctrl|24h_RPMI|N/A|None
GSM5151712|Donor_3|N/A|N/A|N/A|N/A|Healthy|Whole Blood|Monocyte|in_vivo|ctrl|24h_RPMI|N/A|None
GSM5151713|Donor_4|N/A|N/A|N/A|N/A|Healthy|Whole Blood|Monocyte|in_vivo|ctrl|24h_RPMI|N/A|None
GSM5151714|Donor_5|N/A|N/A|N/A|N/A|Healthy|Whole Blood|Monocyte|in_vivo|ctrl|24h_RPMI|N/A|None
GSM5151715|Donor_1|N/A|N/A|N/A|N/A|Healthy|Whole Blood|Monocyte|in_vivo|case|24h_LPS|N/A|Environmental
GSM5151716|Donor_2|N/A|N/A|N/A|N/A|Healthy|Whole Blood|Monocyte|in_vivo|case|24h_LPS|N/A|Environmental
GSM5151717|Donor_3|N/A|N/A|N/A|N/A|Healthy|Whole Blood|Monocyte|in_vivo|case|24h_LPS|N/A|Environmental
GSM5151718|Donor_4|N/A|N/A|N/A|N/A|Healthy|Whole Blood|Monocyte|in_vivo|case|24h_LPS|N/A|Environmental
