GSM752160|N/A|N/A|N/A|N/A|N/A|glioma|Brain|N/A|in_vivo|case|CIMP+|N/A|Disease
GSM752161|N/A|N/A|N/A|N/A|N/A|glioma|Brain|N/A|in_vivo|ctrl|CIMP-|N/A|Disease
GSM752162|N/A|N/A|N/A|N/A|N/A|glioma|Brain|N/A|in_vivo|ctrl|CIMP-|N/A|Disease
GSM752163|N/A|N/A|N/A|N/A|N/A|glioma|Brain|N/A|in_vivo|ctrl|CIMP-|N/A|Disease
GSM752164|N/A|N/A|N/A|N/A|N/A|glioma|Brain|N/A|in_vivo|ctrl|CIMP-|N/A|Disease
GSM752165|N/A|N/A|N/A|N/A|N/A|glioma|Brain|N/A|in_vivo|ctrl|CIMP-|N/A|Disease
GSM752166|N/A|N/A|N/A|N/A|N/A|glioma|Brain|N/A|in_vivo|ctrl|CIMP-|N/A|Disease
GSM752167|N/A|N/A|N/A|N/A|N/A|glioma|Brain|N/A|in_vivo|case|CIMP+|N/A|Disease
GSM752168|N/A|N/A|N/A|N/A|N/A|glioma|Brain|N/A|in_vivo|ctrl|CIMP-|N/A|Disease
GSM752169|N/A|N/A|N/A|N/A|N/A|glioma|Brain|N/A|in_vivo|ctrl|CIMP-|N/A|Disease
GSM752170|N/A|N/A|N/A|N/A|N/A|glioma|Brain|N/A|in_vivo|ctrl|CIMP-|N/A|Disease
GSM752171|N/A|N/A|N/A|N/A|N/A|glioma|Brain|N/A|in_vivo|case|CIMP+|N/A|Disease
GSM752172|N/A|N/A|N/A|N/A|N/A|glioma|Brain|N/A|in_vivo|ctrl|CIMP-|N/A|Disease
GSM752173|N/A|N/A|N/A|N/A|N/A|glioma|Brain|N/A|in_vivo|ctrl|CIMP-|N/A|Disease
GSM752174|N/A|N/A|N/A|N/A|N/A|glioma|Brain|N/A|in_vivo|ctrl|CIMP-|N/A|Disease
GSM752175|N/A|N/A|N/A|N/A|N/A|glioma|Brain|N/A|in_vivo|case|CIMP+|N/A|Disease
GSM752176|N/A|N/A|N/A|N/A|N/A|glioma|Brain|N/A|in_vivo|case|CIMP+|N/A|Disease
GSM752177|N/A|N/A|N/A|N/A|N/A|glioma|Brain|N/A|in_vivo|case|CIMP+|N/A|Disease
GSM752178|N/A|N/A|N/A|N/A|N/A|glioma|Brain|N/A|in_vivo|case|CIMP+|N/A|Disease
GSM752179|N/A|N/A|N/A|N/A|N/A|glioma|Brain|N/A|in_vivo|case|CIMP+|N/A|Disease
GSM752180|N/A|N/A|N/A|N/A|N/A|glioma|Brain|N/A|in_vivo|case|CIMP+|N/A|Disease
GSM752181|N/A|N/A|N/A|N/A|N/A|glioma|Brain|N/A|in_vivo|ctrl|CIMP-|N/A|Disease
GSM752182|N/A|N/A|N/A|N/A|N/A|glioma|Brain|N/A|in_vivo|ctrl|CIMP-|N/A|Disease
GSM752183|N/A|N/A|N/A|N/A|N/A|glioma|Brain|N/A|in_vivo|case|CIMP+|N/A|Disease
GSM752184|N/A|N/A|N/A|N/A|N/A|glioma|Brain|N/A|in_vivo|ctrl|CIMP-|N/A|Disease
GSM752185|N/A|N/A|N/A|N/A|N/A|glioma|Brain|N/A|in_vivo|case|CIMP+|N/A|Disease
GSM752186|N/A|N/A|N/A|N/A|N/A|glioma|Brain|N/A|in_vivo|case|CIMP+|N/A|Disease
GSM752187|N/A|N/A|N/A|N/A|N/A|glioma|Brain|N/A|in_vivo|case|CIMP+|N/A|Disease
GSM752188|N/A|N/A|N/A|N/A|N/A|glioma|Brain|N/A|in_vivo|case|CIMP+|N/A|Disease
GSM752189|N/A|N/A|N/A|N/A|N/A|glioma|Brain|N/A|in_vivo|case|CIMP+|N/A|Disease
GSM752190|N/A|N/A|N/A|N/A|N/A|glioma|Brain|N/A|in_vivo|ctrl|CIMP-|N/A|Disease
GSM752191|N/A|N/A|N/A|N/A|N/A|glioma|Brain|N/A|in_vivo|case|CIMP+|N/A|Disease
GSM752192|N/A|N/A|N/A|N/A|N/A|glioma|Brain|N/A|in_vivo|case|CIMP+|N/A|Disease
GSM752193|N/A|N/A|N/A|N/A|N/A|glioma|Brain|N/A|in_vivo|case|CIMP+|N/A|Disease
GSM752194|N/A|N/A|N/A|N/A|N/A|glioma|Brain|N/A|in_vivo|ctrl|CIMP-|N/A|Disease
GSM752195|N/A|N/A|N/A|N/A|N/A|glioma|Brain|N/A|in_vivo|case|CIMP+|N/A|Disease
GSM752196|N/A|N/A|N/A|N/A|N/A|glioma|Brain|N/A|in_vivo|case|CIMP+|N/A|Disease
GSM752197|N/A|N/A|N/A|N/A|N/A|glioma|Brain|N/A|in_vivo|case|CIMP+|N/A|Disease
GSM752198|N/A|N/A|N/A|N/A|N/A|glioma|Brain|N/A|in_vivo|ctrl|CIMP-|N/A|Disease
GSM752199|N/A|N/A|N/A|N/A|N/A|glioma|Brain|N/A|in_vivo|case|CIMP+|N/A|Disease
GSM752200|N/A|N/A|N/A|N/A|N/A|glioma|Brain|N/A|in_vivo|case|CIMP+|N/A|Disease
GSM752201|N/A|N/A|N/A|N/A|N/A|glioma|Brain|N/A|in_vivo|ctrl|CIMP-|N/A|Disease
GSM752202|N/A|N/A|N/A|N/A|N/A|glioma|Brain|N/A|in_vivo|ctrl|CIMP-|N/A|Disease
GSM752203|N/A|N/A|N/A|N/A|N/A|glioma|Brain|N/A|in_vivo|case|CIMP+|N/A|Disease
GSM752204|N/A|N/A|N/A|N/A|N/A|glioma|Brain|N/A|in_vivo|case|CIMP+|N/A|Disease
GSM752205|N/A|N/A|N/A|N/A|N/A|glioma|Brain|N/A|in_vivo|case|CIMP+|N/A|Disease
GSM752206|N/A|N/A|N/A|N/A|N/A|glioma|Brain|N/A|in_vivo|case|CIMP+|N/A|Disease
