GSM6124316|N/A|N/A|N/A|N/A|N/A|N/A|Brain|Astrocytes|in_vitro|ctrl|N/A|N/A|N/A
GSM6124317|N/A|N/A|N/A|N/A|N/A|N/A|Brain|Astrocytes|in_vitro|ctrl|N/A|N/A|N/A
GSM6124318|N/A|N/A|F|N/A|N/A|N/A|Brain|Astrocytes|in_vitro|ctrl|N/A|N/A|N/A
GSM6124319|N/A|N/A|N/A|N/A|N/A|N/A|Brain|Astrocytes|in_vitro|ctrl|N/A|N/A|N/A
GSM6124320|N/A|N/A|N/A|N/A|N/A|N/A|Brain|Astrocytes|in_vitro|ctrl|N/A|N/A|N/A
GSM6124321|N/A|N/A|N/A|N/A|N/A|N/A|Brain|Astrocytes|in_vitro|ctrl|N/A|N/A|N/A
GSM6124322|N/A|N/A|F|N/A|N/A|N/A|Brain|Astrocytes|in_vitro|ctrl|N/A|N/A|N/A
GSM6124323|N/A|N/A|N/A|N/A|N/A|N/A|Brain|Astrocytes|in_vitro|ctrl|N/A|N/A|N/A
GSM6124324|N/A|N/A|F|N/A|N/A|N/A|Brain|Astrocytes|in_vitro|ctrl|N/A|N/A|N/A
GSM6124325|N/A|N/A|F|N/A|N/A|N/A|Brain|Astrocytes|in_vitro|ctrl|N/A|N/A|N/A
GSM6124326|N/A|N/A|N/A|N/A|N/A|N/A|Brain|Astrocytes|in_vitro|ctrl|N/A|N/A|N/A
GSM6124327|N/A|N/A|F|N/A|N/A|N/A|Brain|Astrocytes|in_vitro|ctrl|N/A|N/A|N/A
GSM6124328|N/A|N/A|N/A|N/A|N/A|N/A|Brain|Astrocytes|in_vitro|ctrl|N/A|N/A|N/A
GSM6124329|N/A|N/A|N/A|N/A|N/A|N/A|Brain|Astrocytes|in_vitro|ctrl|N/A|N/A|N/A
GSM6124330|N/A|N/A|N/A|N/A|N/A|N/A|Brain|Astrocytes|in_vitro|ctrl|N/A|N/A|N/A
GSM6124331|N/A|N/A|N/A|N/A|N/A|N/A|Brain|Astrocytes|in_vitro|ctrl|N/A|N/A|N/A
GSM6124332|N/A|N/A|N/A|N/A|N/A|N/A|Brain|Astrocytes|in_vitro|ctrl|N/A|N/A|N/A
GSM6124333|N/A|N/A|F|N/A|N/A|N/A|Brain|Astrocytes|in_vitro|ctrl|N/A|N/A|N/A
GSM6124334|N/A|N/A|N/A|N/A|N/A|N/A|Brain|Astrocytes|in_vitro|ctrl|N/A|N/A|N/A
GSM6124335|N/A|N/A|N/A|N/A|N/A|N/A|Brain|Astrocytes|in_vitro|ctrl|N/A|N/A|N/A
GSM6124336|N/A|N/A|N/A|N/A|N/A|N/A|Brain|Astrocytes|in_vitro|ctrl|N/A|N/A|N/A
GSM6124337|N/A|N/A|F|N/A|N/A|N/A|Brain|Astrocytes|in_vitro|ctrl|N/A|N/A|N/A
GSM6124338|N/A|N/A|N/A|N/A|N/A|N/A|Brain|Astrocytes|in_vitro|ctrl|N/A|N/A|N/A
GSM6124339|N/A|N/A|F|N/A|N/A|N/A|Brain|Astrocytes|in_vitro|ctrl|N/A|N/A|N/A
GSM6124340|N/A|N/A|N/A|N/A|N/A|N/A|Brain|Astrocytes|in_vitro|ctrl|N/A|N/A|N/A
GSM6124341|N/A|N/A|F|N/A|N/A|N/A|Brain|Astrocytes|in_vitro|ctrl|N/A|N/A|N/A
GSM6124342|N/A|N/A|N/A|N/A|N/A|N/A|Brain|Astrocytes|in_vitro|ctrl|N/A|N/A|N/A
GSM6124343|N/A|N/A|F|N/A|N/A|N/A|Brain|Astrocytes|in_vitro|ctrl|N/A|N/A|N/A
GSM6124344|N/A|N/A|N/A|N/A|N/A|N/A|Brain|Astrocytes|in_vitro|ctrl|N/A|N/A|N/A
GSM6124345|N/A|N/A|N/A|N/A|N/A|N/A|Brain|Astrocytes|in_vitro|ctrl|N/A|N/A|N/A
GSM6124346|N/A|N/A|N/A|N/A|N/A|N/A|Brain|Astrocytes|in_vitro|ctrl|N/A|N/A|N/A
GSM6124347|N/A|N/A|N/A|N/A|N/A|N/A|Brain|Astrocytes|in_vitro|ctrl|N/A|N/A|N/A
GSM6124348|N/A|N/A|N/A|N/A|N/A|N/A|Brain|Astrocytes|in_vitro|ctrl|N/A|N/A|N/A
GSM6124349|N/A|N/A|N/A|N/A|N/A|N/A|Brain|Astrocytes|in_vitro|ctrl|N/A|N/A|N/A
GSM6124350|N/A|N/A|N/A|N/A|N/A|N/A|Brain|Astrocytes|in_vitro|ctrl|N/A|N/A|N/A
GSM6124351|N/A|N/A|N/A|N/A|N/A|N/A|Brain|Astrocytes|in_vitro|ctrl|N/A|N/A|N/A
GSM6124352|N/A|N/A|N/A|N/A|N/A|N/A|Brain|Astrocytes|in_vitro|ctrl|N/A|N/A|N/A
GSM6124353|N/A|N/A|F|N/A|N/A|N/A|Brain|Astrocytes|in_vitro|ctrl|N/A|N/A|N/A
GSM6124354|N/A|N/A|N/A|N/A|N/A|N/A|Brain|Astrocytes|in_vitro|ctrl|N/A|N/A|N/A
GSM6124355|N/A|N/A|N/A|N/A|N/A|N/A|Brain|Astrocytes|in_vitro|ctrl|N/A|N/A|N/A
GSM6124356|N/A|N/A|N/A|N/A|N/A|N/A|Brain|Astrocytes|in_vitro|ctrl|N/A|N/A|N/A
GSM6124357|N/A|N/A|N/A|N/A|N/A|N/A|Brain|Astrocytes|in_vitro|ctrl|N/A|N/A|N/A
