GSM2451417|N/A|N/A|N/A|N/A|N/A|N/A|Cells|N/A|in_vitro|ctrl|No knockdown control|N/A|Small Molecule
GSM2451418|N/A|N/A|N/A|N/A|N/A|N/A|Cells|N/A|in_vitro|ctrl|No knockdown control|N/A|Small Molecule
GSM2451419|N/A|N/A|N/A|N/A|N/A|N/A|Cells|N/A|in_vitro|ctrl|No knockdown control|N/A|Small Molecule
GSM2451420|N/A|N/A|N/A|N/A|N/A|N/A|Cells|N/A|in_vitro|ctrl|No knockdown control|N/A|Small Molecule
GSM2451421|N/A|N/A|N/A|N/A|N/A|N/A|Cells|N/A|in_vitro|ctrl|No knockdown control|N/A|Small Molecule
GSM2451422|N/A|N/A|N/A|N/A|N/A|N/A|Cells|N/A|in_vitro|ctrl|No knockdown control|N/A|Small Molecule
GSM2451423|N/A|N/A|N/A|N/A|N/A|N/A|Cells|N/A|in_vitro|case|CTCF knockdown|N/A|Genetic
GSM2451424|N/A|N/A|N/A|N/A|N/A|N/A|Cells|N/A|in_vitro|case|CTCF knockdown|N/A|Genetic
GSM2451425|N/A|N/A|N/A|N/A|N/A|N/A|Cells|N/A|in_vitro|case|CTCF knockdown|N/A|Genetic
GSM2451426|N/A|N/A|N/A|N/A|N/A|N/A|Cells|N/A|in_vitro|case|CTCF knockdown|N/A|Genetic
GSM2451427|N/A|N/A|N/A|N/A|N/A|N/A|Cells|N/A|in_vitro|case|CTCF knockdown|N/A|Genetic
GSM2451428|N/A|N/A|N/A|N/A|N/A|N/A|Cells|N/A|in_vitro|case|CTCF knockdown|N/A|Genetic
