GSM5580243|N/A|N/A|N/A|N/A|N/A|Merkel Cell Carcinoma|N/A|MCC9|in_vitro|N/A|N/A|N/A|N/A
GSM5580244|N/A|N/A|N/A|N/A|N/A|Merkel Cell Carcinoma|N/A|MCC13|in_vitro|N/A|N/A|N/A|N/A
GSM5580245|N/A|N/A|N/A|N/A|N/A|Merkel Cell Carcinoma|N/A|MCC29|in_vitro|N/A|N/A|N/A|N/A
GSM5580246|N/A|N/A|N/A|N/A|N/A|Merkel Cell Carcinoma|N/A|MCC31|in_vitro|N/A|N/A|N/A|N/A
GSM5580247|N/A|N/A|N/A|N/A|N/A|Merkel Cell Carcinoma|N/A|MCC32|in_vitro|N/A|N/A|N/A|N/A
GSM5580248|N/A|N/A|N/A|N/A|N/A|Merkel Cell Carcinoma|N/A|MCC34|in_vitro|N/A|N/A|N/A|N/A
GSM5580249|N/A|N/A|N/A|N/A|N/A|Merkel Cell Carcinoma|N/A|MCC35|in_vitro|N/A|N/A|N/A|N/A
GSM5580250|N/A|N/A|N/A|N/A|N/A|Merkel Cell Carcinoma|N/A|MCC40|in_vitro|N/A|N/A|N/A|N/A
GSM5580251|N/A|N/A|N/A|N/A|N/A|Merkel Cell Carcinoma|N/A|MCC47|in_vitro|N/A|N/A|N/A|N/A
GSM5580252|N/A|N/A|N/A|N/A|N/A|Merkel Cell Carcinoma|N/A|MCC50|in_vitro|N/A|N/A|N/A|N/A
GSM5580253|N/A|N/A|N/A|N/A|N/A|Merkel Cell Carcinoma|N/A|MCC52|in_vitro|N/A|N/A|N/A|N/A
GSM5580254|N/A|N/A|N/A|N/A|N/A|Merkel Cell Carcinoma|N/A|MCC58|in_vitro|N/A|N/A|N/A|N/A
GSM5580255|N/A|N/A|N/A|N/A|N/A|Merkel Cell Carcinoma|N/A|MCC66|in_vitro|N/A|N/A|N/A|N/A
GSM5580256|N/A|N/A|N/A|N/A|N/A|Merkel Cell Carcinoma|N/A|MCC68|in_vitro|N/A|N/A|N/A|N/A
GSM5580257|N/A|N/A|N/A|N/A|N/A|Merkel Cell Carcinoma|N/A|MCC565|in_vitro|N/A|N/A|N/A|N/A
GSM5580258|N/A|N/A|N/A|N/A|N/A|Merkel Cell Carcinoma|N/A|MKL1|in_vitro|N/A|N/A|N/A|N/A
