GSM977267|NA19147|Black|N/A|N/A|N/A|Healthy|Cells|NA19147|in_vitro|ctrl|N/A|N/A|Genetic
GSM977268|NA12750|European|N/A|N/A|N/A|Healthy|Cells|NA12750|in_vitro|ctrl|N/A|N/A|Genetic
GSM977269|NA18916|Black|N/A|N/A|N/A|Healthy|Cells|NA18916|in_vitro|ctrl|N/A|N/A|Genetic
GSM977270|NA12146|European|N/A|N/A|N/A|Healthy|Cells|NA12146|in_vitro|ctrl|N/A|N/A|Genetic
GSM977271|NA12057|European|N/A|N/A|N/A|Healthy|Cells|NA12057|in_vitro|ctrl|N/A|N/A|Genetic
GSM977272|NA12056|European|N/A|N/A|N/A|Healthy|Cells|NA12056|in_vitro|ctrl|N/A|N/A|Genetic
GSM977273|NA11829|European|N/A|N/A|N/A|Healthy|Cells|NA11829|in_vitro|ctrl|N/A|N/A|Genetic
GSM977274|NA12144|European|N/A|N/A|N/A|Healthy|Cells|NA12144|in_vitro|ctrl|N/A|N/A|Genetic
GSM977275|NA12812|European|N/A|N/A|N/A|Healthy|Cells|NA12812|in_vitro|ctrl|N/A|N/A|Genetic
GSM977276|NA19127|Black|N/A|N/A|N/A|Healthy|Cells|NA19127|in_vitro|ctrl|N/A|N/A|Genetic
GSM977277|NA18522|Black|N/A|N/A|N/A|Healthy|Cells|NA18522|in_vitro|ctrl|N/A|N/A|Genetic
GSM977278|NA18871|Black|N/A|N/A|N/A|Healthy|Cells|NA18871|in_vitro|ctrl|N/A|N/A|Genetic
GSM977279|NA19137|Black|N/A|N/A|N/A|Healthy|Cells|NA19137|in_vitro|ctrl|N/A|N/A|Genetic
GSM977280|NA19190|Black|N/A|N/A|N/A|Healthy|Cells|NA19190|in_vitro|ctrl|N/A|N/A|Genetic
GSM977281|NA12156|European|N/A|N/A|N/A|Healthy|Cells|NA12156|in_vitro|ctrl|N/A|N/A|Genetic
GSM977282|NA06993|European|N/A|N/A|N/A|Healthy|Cells|NA06993|in_vitro|ctrl|N/A|N/A|Genetic
GSM977283|NA12814|European|N/A|N/A|N/A|Healthy|Cells|NA12814|in_vitro|ctrl|N/A|N/A|Genetic
GSM977284|NA19200|Black|N/A|N/A|N/A|Healthy|Cells|NA19200|in_vitro|ctrl|N/A|N/A|Genetic
GSM977285|NA18912|Black|N/A|N/A|N/A|Healthy|Cells|NA18912|in_vitro|ctrl|N/A|N/A|Genetic
GSM977286|NA12892|European|N/A|N/A|N/A|Healthy|Cells|NA12892|in_vitro|ctrl|N/A|N/A|Genetic
GSM977287|NA18520|Black|N/A|N/A|N/A|Healthy|Cells|NA18520|in_vitro|ctrl|N/A|N/A|Genetic
GSM977288|NA19209|Black|N/A|N/A|N/A|Healthy|Cells|NA19209|in_vitro|ctrl|N/A|N/A|Genetic
GSM977289|NA11881|European|N/A|N/A|N/A|Healthy|Cells|NA11881|in_vitro|ctrl|N/A|N/A|Genetic
