GSM1178910|N/A|N/A|N/A|N/A|N/A|N/A|Breast|Human mammary fibroblast cells|in_vitro|N/A|N/A|N/A|N/A
GSM1178911|N/A|N/A|N/A|N/A|N/A|N/A|Breast|Human mammary fibroblast cells|in_vitro|N/A|N/A|N/A|N/A
GSM1178912|N/A|N/A|N/A|N/A|N/A|N/A|Breast|Human mammary fibroblast cells|in_vitro|N/A|N/A|N/A|N/A
GSM1178913|N/A|N/A|N/A|N/A|N/A|N/A|Breast|Human mammary organoids|in_vitro|N/A|N/A|N/A|N/A
GSM1178914|N/A|N/A|N/A|N/A|N/A|N/A|Breast|Human mammary organoids|in_vitro|N/A|N/A|N/A|N/A
GSM1178915|N/A|N/A|N/A|N/A|N/A|N/A|Breast|Pre-Stasis human mammary epithelial cells|in_vitro|N/A|N/A|N/A|N/A
GSM1178916|N/A|N/A|N/A|N/A|N/A|N/A|Breast|Pre-Stasis human mammary epithelial cells|in_vitro|N/A|N/A|N/A|N/A
GSM1178917|N/A|N/A|N/A|N/A|N/A|N/A|Breast|Pre-Stasis human mammary epithelial cells|in_vitro|N/A|N/A|N/A|N/A
GSM1178918|N/A|N/A|N/A|N/A|N/A|N/A|Breast|Post-Selection human mammary epithelial cells|in_vitro|N/A|N/A|N/A|N/A
GSM1178919|N/A|N/A|N/A|N/A|N/A|N/A|Breast|Post-Selection human mammary epithelial cells|in_vitro|N/A|N/A|N/A|N/A
GSM1178920|N/A|N/A|N/A|N/A|N/A|N/A|Breast|Post-Stasis human mammary epithelial cells|in_vitro|N/A|N/A|N/A|N/A
GSM1178921|N/A|N/A|N/A|N/A|N/A|N/A|Breast|Immortal human mammary epithelial cells|in_vitro|N/A|N/A|N/A|N/A
GSM1178922|N/A|N/A|N/A|N/A|N/A|N/A|Breast|Immortal human mammary epithelial cells|in_vitro|N/A|N/A|N/A|N/A
GSM1178923|N/A|N/A|N/A|N/A|N/A|N/A|Breast|Immortal human mammary epithelial cells|in_vitro|N/A|N/A|N/A|N/A
GSM1178924|N/A|N/A|N/A|N/A|N/A|N/A|Breast|Immortal human mammary epithelial cells|in_vitro|N/A|N/A|N/A|N/A
GSM1178925|N/A|N/A|N/A|N/A|N/A|Breast carcinoma|Breast|Breast carcinoma cell line|in_vitro|N/A|N/A|N/A|N/A
GSM1178926|N/A|N/A|N/A|N/A|N/A|Breast carcinoma|Breast|Breast carcinoma cell line|in_vitro|N/A|N/A|N/A|N/A
GSM1178927|N/A|N/A|N/A|N/A|N/A|Breast carcinoma|Breast|Breast carcinoma cell line|in_vitro|N/A|N/A|N/A|N/A
GSM1178928|N/A|N/A|N/A|N/A|N/A|Breast carcinoma|Breast|Breast carcinoma cell line|in_vitro|N/A|N/A|N/A|N/A
