GSM5462342|N/A|N/A|N/A|N/A|Induced pluripotent stem cells|N/A|Other|N/A|in_vitro|N/A|N/A|N/A|Genetic
GSM5462343|N/A|N/A|N/A|N/A|Induced pluripotent stem cells|N/A|Other|N/A|in_vitro|N/A|N/A|N/A|Genetic
GSM5462344|N/A|N/A|N/A|N/A|Induced pluripotent stem cells|N/A|Other|N/A|in_vitro|N/A|N/A|N/A|Genetic
GSM5462345|N/A|N/A|N/A|N/A|Induced pluripotent stem cells|N/A|Other|N/A|in_vitro|N/A|N/A|N/A|Genetic
GSM5462346|N/A|N/A|N/A|N/A|Induced pluripotent stem cells|N/A|Other|N/A|in_vitro|N/A|N/A|N/A|Genetic
GSM5462347|N/A|N/A|N/A|N/A|Induced pluripotent stem cells|N/A|Other|N/A|in_vitro|N/A|N/A|N/A|Genetic
GSM5462348|N/A|N/A|N/A|N/A|Induced pluripotent stem cells|N/A|Other|N/A|in_vitro|N/A|N/A|N/A|Genetic
GSM5462349|N/A|N/A|N/A|N/A|Induced pluripotent stem cells|N/A|Other|N/A|in_vitro|N/A|N/A|N/A|Genetic
GSM5462350|N/A|N/A|N/A|N/A|Induced pluripotent stem cells|N/A|Other|N/A|in_vitro|N/A|N/A|N/A|Genetic
GSM5462351|N/A|N/A|N/A|N/A|Mesenchymal Stromal Cells|N/A|Other|N/A|in_vitro|N/A|N/A|N/A|Genetic
GSM5462352|N/A|N/A|N/A|N/A|Mesenchymal Stromal Cells|N/A|Other|N/A|in_vitro|N/A|N/A|N/A|Genetic
GSM5462353|N/A|N/A|N/A|N/A|Mesenchymal Stromal Cells|N/A|Other|N/A|in_vitro|N/A|N/A|N/A|Genetic
GSM5462354|N/A|N/A|N/A|N/A|Mesenchymal Stromal Cells|N/A|Other|N/A|in_vitro|N/A|N/A|N/A|Genetic
GSM5462355|N/A|N/A|N/A|N/A|Mesenchymal Stromal Cells|N/A|Other|N/A|in_vitro|N/A|N/A|N/A|Genetic
GSM5462356|N/A|N/A|N/A|N/A|Mesenchymal Stromal Cells|N/A|Other|N/A|in_vitro|N/A|N/A|N/A|Genetic
GSM5462357|N/A|N/A|N/A|N/A|Mesenchymal Stromal Cells|N/A|Other|N/A|in_vitro|N/A|N/A|N/A|Genetic
GSM5462358|N/A|N/A|N/A|N/A|Mesenchymal Stromal Cells|N/A|Other|N/A|in_vitro|N/A|N/A|N/A|Genetic
GSM5462359|N/A|N/A|N/A|N/A|Mesenchymal Stromal Cells|N/A|Other|N/A|in_vitro|N/A|N/A|N/A|Genetic
GSM5462360|N/A|N/A|N/A|N/A|Hematopoietic Progenitor Cells|N/A|Other|N/A|in_vitro|N/A|N/A|N/A|Genetic
GSM5462361|N/A|N/A|N/A|N/A|Hematopoietic Progenitor Cells|N/A|Other|N/A|in_vitro|N/A|N/A|N/A|Genetic
GSM5462362|N/A|N/A|N/A|N/A|Hematopoietic Progenitor Cells|N/A|Other|N/A|in_vitro|N/A|N/A|N/A|Genetic
GSM5462363|N/A|N/A|N/A|N/A|Hematopoietic Progenitor Cells|N/A|Other|N/A|in_vitro|N/A|N/A|N/A|Genetic
GSM5462364|N/A|N/A|N/A|N/A|Hematopoietic Progenitor Cells|N/A|Other|N/A|in_vitro|N/A|N/A|N/A|Genetic
GSM5462365|N/A|N/A|N/A|N/A|Hematopoietic Progenitor Cells|N/A|Other|N/A|in_vitro|N/A|N/A|N/A|Genetic
GSM5462366|N/A|N/A|N/A|N/A|Hematopoietic Progenitor Cells|N/A|Other|N/A|in_vitro|N/A|N/A|N/A|Genetic
