GSM620814|N/A|N/A|N/A|N/A|N/A|N/A|Cells|N/A|in_vitro|ctrl|untreated_group|N/A|N/A
GSM620815|N/A|N/A|N/A|N/A|N/A|N/A|Cells|N/A|in_vitro|ctrl|untreated_group|N/A|N/A
GSM620816|N/A|N/A|N/A|N/A|N/A|N/A|Cells|N/A|in_vitro|ctrl|untreated_group|N/A|N/A
GSM620817|N/A|N/A|N/A|N/A|N/A|N/A|Cells|N/A|in_vitro|ctrl|untreated_group|N/A|N/A
GSM620818|N/A|N/A|N/A|N/A|N/A|N/A|Cells|N/A|in_vitro|ctrl|untreated_group|N/A|N/A
GSM620819|N/A|N/A|N/A|N/A|N/A|N/A|Cells|N/A|in_vitro|ctrl|untreated_group|N/A|N/A
GSM620820|N/A|N/A|N/A|N/A|N/A|N/A|Cells|N/A|in_vitro|case|treated_group|Decitabine and Trichostatin A|Small Molecule
GSM620821|N/A|N/A|N/A|N/A|N/A|N/A|Cells|N/A|in_vitro|case|treated_group|Decitabine and Trichostatin A|Small Molecule
GSM620822|N/A|N/A|N/A|N/A|N/A|N/A|Cells|N/A|in_vitro|case|treated_group|Decitabine and Trichostatin A|Small Molecule
GSM620823|N/A|N/A|N/A|N/A|N/A|N/A|Cells|N/A|in_vitro|case|treated_group|Decitabine and Trichostatin A|Small Molecule
GSM620824|N/A|N/A|N/A|N/A|N/A|N/A|Cells|N/A|in_vitro|case|treated_group|Decitabine and Trichostatin A|Small Molecule
GSM620825|N/A|N/A|N/A|N/A|N/A|N/A|Cells|N/A|in_vitro|case|treated_group|Decitabine and Trichostatin A|Small Molecule
