GSM2228804|N/A|N/A|N/A|N/A|N/A|Healthy|Liver|N/A|in_vitro|ctrl|Control Group|Ethanol|None
GSM2228805|N/A|N/A|N/A|N/A|N/A|Healthy|Liver|N/A|in_vitro|ctrl|Control Group|Ethanol|None
GSM2228806|N/A|N/A|N/A|N/A|N/A|Healthy|Liver|N/A|in_vitro|ctrl|Control Group|Ethanol|None
GSM2228807|N/A|N/A|N/A|N/A|N/A|Healthy|Liver|N/A|in_vitro|case|Treatment Group|Valproic Acid|Small Molecule
GSM2228808|N/A|N/A|N/A|N/A|N/A|Healthy|Liver|N/A|in_vitro|case|Treatment Group|Valproic Acid|Small Molecule
GSM2228809|N/A|N/A|N/A|N/A|N/A|Healthy|Liver|N/A|in_vitro|case|Treatment Group|Valproic Acid|Small Molecule
GSM2228810|N/A|N/A|N/A|N/A|N/A|Healthy|Liver|N/A|in_vitro|ctrl|Control Group|Ethanol|None
GSM2228811|N/A|N/A|N/A|N/A|N/A|Healthy|Liver|N/A|in_vitro|ctrl|Control Group|Ethanol|None
GSM2228812|N/A|N/A|N/A|N/A|N/A|Healthy|Liver|N/A|in_vitro|ctrl|Control Group|Ethanol|None
GSM2228813|N/A|N/A|N/A|N/A|N/A|Healthy|Liver|N/A|in_vitro|case|Treatment Group|Valproic Acid|Small Molecule
GSM2228814|N/A|N/A|N/A|N/A|N/A|Healthy|Liver|N/A|in_vitro|case|Treatment Group|Valproic Acid|Small Molecule
GSM2228815|N/A|N/A|N/A|N/A|N/A|Healthy|Liver|N/A|in_vitro|case|Treatment Group|Valproic Acid|Small Molecule
