GSM6015743|N/A|N/A|M|N/A|N/A|Hutchinson-Gilford progeria syndrome|Cells|N/A|in_vitro|ctrl|N/A|N/A|N/A
GSM6015744|N/A|N/A|M|N/A|N/A|Hutchinson-Gilford progeria syndrome|Cells|N/A|in_vitro|case|N/A|Scrambled AntiSense Oligonucleotides|Small Molecule
GSM6015745|N/A|N/A|M|N/A|N/A|Hutchinson-Gilford progeria syndrome|Cells|N/A|in_vitro|case|N/A|ASO.Line1|Genetic
GSM6015746|N/A|N/A|M|N/A|N/A|Hutchinson-Gilford progeria syndrome|Cells|N/A|in_vitro|ctrl|N/A|N/A|N/A
GSM6015747|N/A|N/A|M|N/A|N/A|Hutchinson-Gilford progeria syndrome|Cells|N/A|in_vitro|case|N/A|Scrambled AntiSense Oligonucleotides|Small Molecule
GSM6015748|N/A|N/A|M|N/A|N/A|Hutchinson-Gilford progeria syndrome|Cells|N/A|in_vitro|case|N/A|ASO.Line1|Genetic
GSM6015749|N/A|N/A|M|N/A|N/A|Werner syndrome|Cells|N/A|in_vitro|ctrl|N/A|N/A|N/A
GSM6015750|N/A|N/A|M|N/A|N/A|Werner syndrome|Cells|N/A|in_vitro|case|N/A|Scrambled AntiSense Oligonucleotides|Small Molecule
GSM6015751|N/A|N/A|M|N/A|N/A|Werner syndrome|Cells|N/A|in_vitro|case|N/A|ASO.Line1|Genetic
GSM6015752|N/A|N/A|M|N/A|N/A|Werner syndrome|Cells|N/A|in_vitro|ctrl|N/A|N/A|N/A
GSM6015753|N/A|N/A|M|N/A|N/A|Werner syndrome|Cells|N/A|in_vitro|case|N/A|Scrambled AntiSense Oligonucleotides|Small Molecule
GSM6015754|N/A|N/A|M|N/A|N/A|Werner syndrome|Cells|N/A|in_vitro|case|N/A|ASO.Line1|Genetic
GSM6015755|N/A|N/A|M|N/A|N/A|Werner syndrome|Cells|N/A|in_vitro|case|N/A|ASO.Line1|Genetic
GSM6015756|N/A|N/A|M|N/A|N/A|Healthy|Cells|N/A|in_vitro|ctrl|N/A|N/A|N/A
GSM6015757|N/A|N/A|M|N/A|N/A|Healthy|Cells|N/A|in_vitro|ctrl|N/A|N/A|N/A
GSM6015758|N/A|N/A|M|N/A|N/A|Healthy|Cells|N/A|in_vitro|ctrl|N/A|N/A|N/A
