GSM5929052|N/A|N/A|M|0|N/A|N/A|Cells|Fibroblast|in_vitro|N/A|N/A|None|N/A
GSM5929099|N/A|N/A|M|0|N/A|N/A|Cells|Fibroblast|in_vitro|N/A|N/A|None|N/A
GSM5928826|N/A|N/A|M|0|N/A|N/A|Cells|Keratinocyte|in_vitro|N/A|N/A|None|N/A
GSM5929116|N/A|N/A|M|0|N/A|N/A|Cells|Fibroblast|in_vitro|N/A|N/A|Radiation|N/A
GSM5929008|N/A|N/A|M|0|N/A|N/A|Cells|Fibroblast|in_vitro|N/A|N/A|None|N/A
GSM5929091|N/A|N/A|M|0|N/A|N/A|Cells|Fibroblast|in_vitro|N/A|N/A|None|N/A
GSM5928946|N/A|N/A|M|26|N/A|N/A|Cells|HCAEC|in_vitro|N/A|N/A|Clone|N/A
GSM5929042|N/A|N/A|M|0|N/A|N/A|Cells|Fibroblast|in_vitro|N/A|N/A|X-ray|N/A
GSM5928874|N/A|N/A|M|0|N/A|N/A|Cells|AnteriorForegutEndoderm|in_vitro|N/A|N/A|iPSC_differentiation|N/A
GSM5928919|N/A|N/A|M|0|N/A|N/A|Cells|Fibroblast|in_vitro|N/A|N/A|None|N/A
GSM5928930|N/A|N/A|M|0|N/A|N/A|Cells|HUVEC|in_vitro|N/A|N/A|Rapamycin|N/A
GSM5929069|N/A|N/A|M|0|N/A|N/A|Cells|EndothelialCell|in_vitro|N/A|N/A|Endothelial_differentiation_CellLine2|N/A
GSM5928825|N/A|N/A|M|0|N/A|N/A|Cells|Keratinocyte|in_vitro|N/A|N/A|None|N/A
GSM5929035|N/A|N/A|M|0|N/A|N/A|Cells|Fibroblast|in_vitro|N/A|N/A|RAS|N/A
GSM5929032|N/A|N/A|M|0|N/A|N/A|Cells|Fibroblast|in_vitro|N/A|N/A|None|N/A
GSM5928887|N/A|N/A|M|0|N/A|N/A|Cells|KeratinocyteStemCell|in_vitro|N/A|N/A|KeratinocyteStemCell|N/A
GSM5928866|N/A|N/A|F|69|N/A|BasalCellCarcinoma|Cells|BasalCellCarcinoma|in_vitro|N/A|N/A|None|N/A
GSM5929107|N/A|N/A|M|0|N/A|N/A|Cells|Fibroblast|in_vitro|N/A|N/A|Radiation|N/A
GSM5929012|N/A|N/A|M|0|N/A|N/A|Cells|Fibroblast|in_vitro|N/A|N/A|None|N/A
GSM5928824|N/A|N/A|M|0|N/A|N/A|Cells|Keratinocyte|in_vitro|N/A|N/A|None|N/A
GSM5928935|N/A|N/A|M|0|N/A|N/A|Cells|HUVEC|in_vitro|N/A|N/A|None|N/A
GSM5928885|N/A|N/A|M|0|N/A|N/A|Cells|BasalCell|in_vitro|N/A|N/A|iPSC_differentiation|N/A
GSM5929121|N/A|N/A|M|0|N/A|N/A|Cells|Fibroblast|in_vitro|N/A|N/A|Radiation|N/A
GSM5928926|N/A|N/A|M|0|N/A|N/A|Cells|HUVEC|in_vitro|N/A|N/A|None|N/A
GSM5929026|N/A|N/A|M|0|N/A|N/A|Cells|Fibroblast|in_vitro|N/A|N/A|X-ray|N/A
GSM5929074|N/A|N/A|M|0|N/A|N/A|Cells|EmbryonicStemCell|in_vitro|N/A|N/A|Endothelial_differentiation_Parental|N/A
GSM5929119|N/A|N/A|M|0|N/A|N/A|Cells|Fibroblast|in_vitro|N/A|N/A|Radiation|N/A
GSM5928953|N/A|N/A|F|-0.6|N/A|N/A|Cells|Neural progenitors|in_vitro|N/A|N/A|Neural_differentiation|N/A
GSM5928847|N/A|N/A|M|73|N/A|N/A|Skin|Skin|in_vivo|N/A|N/A|None|N/A
GSM5928878|N/A|N/A|M|0|N/A|N/A|Cells|LungProgenitor|in_vitro|N/A|N/A|iPSC_differentiation|N/A
GSM5929013|N/A|N/A|M|0|N/A|N/A|Cells|Fibroblast|in_vitro|N/A|N/A|Replication|N/A
GSM5929106|N/A|N/A|M|0|N/A|N/A|Cells|Fibroblast|in_vitro|N/A|N/A|Radiation|N/A
GSM5929049|N/A|N/A|M|0|N/A|N/A|Cells|Fibroblast|in_vitro|N/A|N/A|Replication|N/A
GSM5928841|N/A|N/A|M|82|N/A|N/A|Skin|Skin|in_vivo|N/A|N/A|None|N/A
GSM5929047|N/A|N/A|M|0|N/A|N/A|Cells|Fibroblast|in_vitro|N/A|N/A|RAS|N/A
GSM5929101|N/A|N/A|M|0|N/A|N/A|Cells|Fibroblast|in_vitro|N/A|N/A|None|N/A
GSM5928917|N/A|N/A|M|0|N/A|N/A|Cells|Fibroblast|in_vitro|N/A|N/A|None|N/A
GSM5929027|N/A|N/A|M|0|N/A|N/A|Cells|Fibroblast|in_vitro|N/A|N/A|RAS|N/A
GSM5928903|N/A|N/A|M|0|N/A|N/A|Cells|Fibroblast|in_vitro|N/A|N/A|None|N/A
GSM5928876|N/A|N/A|M|0|N/A|N/A|Cells|BasalCell|in_vitro|N/A|N/A|iPSC_differentiation|N/A
GSM5928863|N/A|N/A|M|60|N/A|N/A|Skin|Skin|in_vivo|N/A|N/A|None|N/A
