GSM3260097|N/A|N/A|F|N/A|N/A|healthy|Cells|N/A|in_vitro|N/A|N/A|N/A|N/A
GSM3260098|N/A|N/A|F|N/A|N/A|healthy|Cells|N/A|in_vitro|N/A|N/A|N/A|N/A
GSM3260099|N/A|N/A|F|N/A|N/A|healthy|Cells|N/A|in_vitro|N/A|N/A|N/A|N/A
GSM3260100|N/A|N/A|F|N/A|N/A|healthy|Cells|N/A|in_vitro|N/A|N/A|N/A|N/A
GSM3260101|N/A|N/A|F|N/A|N/A|healthy|Cells|N/A|in_vitro|N/A|N/A|N/A|N/A
GSM3260102|N/A|N/A|F|N/A|N/A|healthy|Cells|N/A|in_vitro|N/A|N/A|N/A|N/A
GSM3260103|N/A|N/A|F|N/A|N/A|healthy|Cells|N/A|in_vitro|N/A|N/A|N/A|N/A
GSM3260104|N/A|N/A|F|N/A|N/A|healthy|Cells|N/A|in_vitro|N/A|N/A|N/A|N/A
GSM3260105|N/A|N/A|F|N/A|N/A|healthy|Cells|N/A|in_vitro|N/A|N/A|N/A|N/A
GSM3260106|N/A|N/A|N/A|N/A|N/A|healthy|Cells|N/A|in_vitro|N/A|N/A|N/A|N/A
GSM3260107|N/A|N/A|N/A|fetus|N/A|healthy|Brain|N/A|in_vivo|N/A|N/A|N/A|N/A
GSM3260108|N/A|N/A|N/A|fetus|N/A|healthy|Brain|N/A|in_vivo|N/A|N/A|N/A|N/A
GSM3260109|N/A|N/A|N/A|fetus|N/A|healthy|Brain|N/A|in_vivo|N/A|N/A|N/A|N/A
GSM3260110|N/A|N/A|N/A|fetus|N/A|healthy|Brain|N/A|in_vivo|N/A|N/A|N/A|N/A
GSM3260111|N/A|N/A|N/A|fetus|N/A|healthy|Brain|N/A|in_vivo|N/A|N/A|N/A|N/A
GSM3260112|N/A|N/A|N/A|fetus|N/A|healthy|Brain|N/A|in_vivo|N/A|N/A|N/A|N/A
GSM3260113|N/A|N/A|N/A|fetus|N/A|healthy|Brain|N/A|in_vivo|N/A|N/A|N/A|N/A
GSM3260114|N/A|N/A|N/A|fetus|N/A|healthy|Brain|N/A|in_vivo|N/A|N/A|N/A|N/A
GSM3260115|N/A|N/A|N/A|fetus|N/A|healthy|Brain|N/A|in_vivo|N/A|N/A|N/A|N/A
GSM3260116|N/A|N/A|N/A|adult|N/A|healthy|Brain|N/A|in_vivo|N/A|N/A|N/A|N/A
GSM3260117|N/A|N/A|N/A|fetus|N/A|healthy|Pancreas|N/A|in_vivo|N/A|N/A|N/A|N/A
GSM3260118|N/A|N/A|N/A|fetus|N/A|healthy|Pancreas|N/A|in_vivo|N/A|N/A|N/A|N/A
GSM3260119|N/A|N/A|N/A|fetus|N/A|healthy|Pancreas|N/A|in_vivo|N/A|N/A|N/A|N/A
GSM3260120|N/A|N/A|N/A|fetus|N/A|healthy|Pancreas|N/A|in_vivo|N/A|N/A|N/A|N/A
GSM3260121|N/A|N/A|N/A|35 year old adult|N/A|healthy|Cells|N/A|in_vitro|N/A|N/A|N/A|N/A
GSM3260122|N/A|N/A|N/A|55 year old adult|N/A|healthy|Cells|N/A|in_vitro|N/A|N/A|N/A|N/A
GSM3260123|N/A|N/A|N/A|52 year old adult|N/A|healthy|Cells|N/A|in_vitro|N/A|N/A|N/A|N/A
GSM3260124|N/A|N/A|N/A|12 year old child|N/A|healthy|Cells|N/A|in_vitro|N/A|N/A|N/A|N/A
GSM3260125|N/A|N/A|N/A|51 year old adult|N/A|healthy|Cells|N/A|in_vitro|N/A|N/A|N/A|N/A
GSM3260126|N/A|N/A|N/A|fetus|N/A|healthy|Cells|N/A|in_vitro|N/A|N/A|N/A|N/A
GSM3260127|N/A|N/A|N/A|fetus|N/A|healthy|Cells|N/A|in_vitro|N/A|N/A|N/A|N/A
GSM3260128|N/A|N/A|N/A|fetus|N/A|healthy|Other|umbilical cord|in_vivo|N/A|N/A|N/A|N/A
GSM3260129|N/A|N/A|N/A|fetus|N/A|healthy|Small Intestine|N/A|in_vivo|N/A|N/A|N/A|N/A
GSM3260130|N/A|N/A|N/A|fetus|N/A|healthy|Small Intestine|N/A|in_vivo|N/A|N/A|N/A|N/A
GSM3260131|N/A|N/A|N/A|fetus|N/A|healthy|Small Intestine|N/A|in_vivo|N/A|N/A|N/A|N/A
GSM3260132|N/A|N/A|N/A|fetus|N/A|healthy|Other|thymus|in_vivo|N/A|N/A|N/A|N/A
GSM3260133|N/A|European|F|47|N/A|healthy|Other|diaphragm|in_vivo|N/A|N/A|N/A|N/A
GSM3260134|N/A|European|F|47|N/A|healthy|Other|duodenum|in_vivo|N/A|N/A|N/A|N/A
