GSM2139151|N/A|N/A|F|N/A|N/A|N/A|Whole Blood|N/A|in_vitro|N/A|N/A|N/A|N/A
GSM2139152|N/A|N/A|F|N/A|N/A|N/A|Whole Blood|N/A|in_vitro|N/A|N/A|N/A|N/A
GSM2139153|N/A|N/A|F|N/A|N/A|N/A|Cells|PBMC-derived iPSC|in_vitro|N/A|N/A|N/A|Genetic
GSM2139154|N/A|N/A|F|N/A|N/A|N/A|Cells|amniotic cell-derived iPSC|in_vitro|N/A|N/A|N/A|Genetic
GSM2139155|N/A|N/A|F|N/A|N/A|N/A|Cells|adult fibroblast cell-derived iPSC|in_vitro|N/A|N/A|N/A|Genetic
GSM2139156|N/A|N/A|F|N/A|N/A|N/A|Cells|PBMC-derived iPSC|in_vitro|N/A|N/A|N/A|Genetic
GSM2139157|N/A|N/A|M|N/A|N/A|N/A|Cells|PBMC-derived iPSC|in_vitro|N/A|N/A|N/A|Genetic
GSM2139158|N/A|N/A|M|N/A|N/A|N/A|Whole Blood|N/A|in_vitro|N/A|N/A|N/A|N/A
GSM2139159|N/A|N/A|F|N/A|N/A|N/A|Other|N/A|in_vitro|N/A|N/A|N/A|N/A
GSM2139160|N/A|N/A|F|N/A|N/A|N/A|Cells|amniotic cell-derived iPSC|in_vitro|N/A|N/A|N/A|Genetic
GSM2139161|N/A|N/A|F|N/A|N/A|N/A|Cells|adult fibroblast cell-derived iPSC|in_vitro|N/A|N/A|N/A|Genetic
GSM2139162|N/A|N/A|F|N/A|N/A|N/A|Skin|N/A|in_vitro|N/A|N/A|N/A|N/A
