GSM1854190|N/A|N/A|N/A|N/A|N/A|healthy|Cells|HepaRG|in_vitro|N/A|week0_A|N/A|N/A
GSM1854191|N/A|N/A|N/A|N/A|N/A|healthy|Cells|HepaRG|in_vitro|N/A|week2_A|N/A|N/A
GSM1854192|N/A|N/A|N/A|N/A|N/A|healthy|Cells|HepaRG|in_vitro|N/A|week3_A|N/A|N/A
GSM1854193|N/A|N/A|N/A|N/A|N/A|healthy|Cells|HepaRG|in_vitro|N/A|week4_A|N/A|N/A
GSM1854194|N/A|N/A|N/A|N/A|N/A|healthy|Cells|HepaRG|in_vitro|N/A|week1_A|N/A|N/A
GSM1854195|N/A|N/A|N/A|N/A|N/A|healthy|Cells|HepaRG|in_vitro|N/A|week0_B|N/A|N/A
GSM1854196|N/A|N/A|N/A|N/A|N/A|healthy|Cells|HepaRG|in_vitro|N/A|week4_B|N/A|N/A
GSM1854197|N/A|N/A|N/A|N/A|N/A|healthy|Cells|HepaRG|in_vitro|N/A|week3_B|N/A|N/A
GSM1854198|N/A|N/A|N/A|N/A|N/A|healthy|Cells|HepaRG|in_vitro|N/A|week2_B|N/A|N/A
GSM1854199|N/A|N/A|N/A|N/A|N/A|healthy|Cells|HepaRG|in_vitro|N/A|week1_B|N/A|N/A
GSM1854200|N/A|N/A|N/A|N/A|N/A|healthy|Cells|HepaRG|in_vitro|N/A|week4_C|N/A|N/A
GSM1854201|N/A|N/A|N/A|N/A|N/A|healthy|Cells|HepaRG|in_vitro|N/A|week1_C|N/A|N/A
GSM1854202|N/A|N/A|N/A|N/A|N/A|healthy|Cells|HepaRG|in_vitro|N/A|week0_C|N/A|N/A
GSM1854203|N/A|N/A|N/A|N/A|N/A|healthy|Cells|HepaRG|in_vitro|N/A|week2_C|N/A|N/A
GSM1854204|N/A|N/A|N/A|N/A|N/A|healthy|Cells|HepaRG|in_vitro|N/A|week3_C|N/A|N/A
