GSM5464505|donor A|N/A|N/A|N/A|N/A|N/A|N/A|MO|in_vitro|ctrl|N/A|N/A|N/A
GSM5464506|donor A|N/A|N/A|N/A|N/A|N/A|N/A|DC|in_vitro|ctrl|N/A|GM-CSF+IL-4|N/A
GSM5464507|donor A|N/A|N/A|N/A|N/A|N/A|N/A|tolDC|in_vitro|case|N/A|GM-CSF+IL-4+Dexamethasone|Small Molecule
GSM5464508|donor B|N/A|N/A|N/A|N/A|N/A|N/A|MO|in_vitro|ctrl|N/A|N/A|N/A
GSM5464509|donor B|N/A|N/A|N/A|N/A|N/A|N/A|DC|in_vitro|ctrl|N/A|GM-CSF+IL-4|N/A
GSM5464510|donor B|N/A|N/A|N/A|N/A|N/A|N/A|tolDC|in_vitro|case|N/A|GM-CSF+IL-4+Dexamethasone|Small Molecule
GSM5464511|donor C|N/A|N/A|N/A|N/A|N/A|N/A|MO|in_vitro|ctrl|N/A|N/A|N/A
GSM5464512|donor C|N/A|N/A|N/A|N/A|N/A|N/A|DC|in_vitro|ctrl|N/A|GM-CSF+IL-4|N/A
GSM5464513|donor C|N/A|N/A|N/A|N/A|N/A|N/A|tolDC|in_vitro|case|N/A|GM-CSF+IL-4+Dexamethasone|Small Molecule
GSM5464514|donor D|N/A|N/A|N/A|N/A|N/A|N/A|MO|in_vitro|ctrl|N/A|N/A|N/A
GSM5464515|donor D|N/A|N/A|N/A|N/A|N/A|N/A|DC|in_vitro|ctrl|N/A|GM-CSF+IL-4|N/A
GSM5464516|donor D|N/A|N/A|N/A|N/A|N/A|N/A|tolDC|in_vitro|case|N/A|GM-CSF+IL-4+Dexamethasone|Small Molecule
