GSM1084905|N/A|N/A|N/A|N/A|nonviral 7F stromal primed cord blood iPSC clone 19.11|N/A|Cells|N/A|in_vitro|ctrl|N/A|N/A|Genetic
GSM1084906|N/A|N/A|N/A|N/A|nonviral 7 factor stromal primed Cord Blood iPSC clone 6.11|N/A|Cells|N/A|in_vitro|ctrl|N/A|N/A|Genetic
GSM1084907|N/A|N/A|N/A|N/A|nonviral 7F stromal primed cord blood iPSC clone 6.13|N/A|Cells|N/A|in_vitro|ctrl|N/A|N/A|Genetic
GSM1084908|N/A|N/A|N/A|N/A|nonviral 7 factor stromal primed Cord Blood iPSC clone 6.2|N/A|Cells|N/A|in_vitro|ctrl|N/A|N/A|Genetic
GSM1084909|N/A|N/A|N/A|N/A|nonviral 7 factor stromal primed Cord Blood iPSC clone 6.2|N/A|Cells|N/A|in_vitro|ctrl|N/A|N/A|Genetic
GSM1084910|N/A|N/A|N/A|N/A|nonviral 7 factor stromal primed Cord Blood iPSC clone E1C3|N/A|Cells|N/A|in_vitro|ctrl|N/A|N/A|Genetic
GSM1084911|N/A|N/A|N/A|N/A|nonviral 7 factor stromal primed Cord Blood iPSC clone E1C3|N/A|Cells|N/A|in_vitro|ctrl|N/A|N/A|Genetic
GSM1084912|N/A|N/A|N/A|N/A|nonviral 7 factor stromal primed Cord Blood iPSC clone E1C4|N/A|Cells|N/A|in_vitro|ctrl|N/A|N/A|Genetic
GSM1084913|N/A|N/A|N/A|N/A|nonviral 7 factor stromal primed Cord Blood iPSC clone E1C11|N/A|Cells|N/A|in_vitro|ctrl|N/A|N/A|Genetic
GSM1084914|N/A|N/A|N/A|N/A|nonviral 4 factor stromal primed Cord Blood iPSC clone E5C1|N/A|Cells|N/A|in_vitro|ctrl|N/A|N/A|Genetic
GSM1084915|N/A|N/A|N/A|N/A|nonviral 4 factor stromal primed Cord Blood iPSC clone E5C3|N/A|Cells|N/A|in_vitro|ctrl|N/A|N/A|Genetic
GSM1084916|N/A|N/A|N/A|N/A|nonviral 4 factor stromal primed Cord Blood iPSC clone E5C4|N/A|Cells|N/A|in_vitro|ctrl|N/A|N/A|Genetic
GSM1084917|N/A|N/A|N/A|N/A|nonviral 7 factor stromal primed Cord Blood iPSC clone E2C2|N/A|Cells|N/A|in_vitro|ctrl|N/A|N/A|Genetic
GSM1084918|N/A|N/A|N/A|N/A|nonviral 7 factor stromal primed Cord Blood iPSC clone E2C3|N/A|Cells|N/A|in_vitro|ctrl|N/A|N/A|Genetic
GSM1084919|N/A|N/A|N/A|N/A|nonviral 7 factor stromal primed Cord Blood iPSC clone E2C4|N/A|Cells|N/A|in_vitro|ctrl|N/A|N/A|Genetic
GSM1084920|N/A|N/A|N/A|N/A|nonviral 7 factor neonatal Fibroblast iPSC clone 7ta|N/A|Cells|N/A|in_vitro|ctrl|N/A|N/A|Genetic
GSM1084921|N/A|N/A|N/A|N/A|viral 4 factor Adult Fibroblast iPSC clone HUF1|N/A|Cells|N/A|in_vitro|ctrl|N/A|N/A|Genetic
GSM1084922|N/A|N/A|N/A|N/A|viral 4 factor Adult Fibroblast iPSC clone HUF17|N/A|Cells|N/A|in_vitro|ctrl|N/A|N/A|Genetic
