GSM5482283|N/A|N/A|F|N/A|N/A|N/A|Cells|N/A|in_vitro|N/A|N/A|bisulfite|Small Molecule
GSM5482284|N/A|N/A|F|N/A|N/A|N/A|Cells|N/A|in_vitro|N/A|N/A|oxidative bisulfite|Small Molecule
GSM5482285|N/A|N/A|F|N/A|N/A|N/A|Cells|N/A|in_vitro|N/A|N/A|bisulfite|Small Molecule
GSM5482286|N/A|N/A|F|N/A|N/A|N/A|Cells|N/A|in_vitro|N/A|N/A|oxidative bisulfite|Small Molecule
GSM5482287|N/A|N/A|F|N/A|N/A|N/A|Cells|N/A|in_vitro|N/A|N/A|bisulfite|Small Molecule
GSM5482288|N/A|N/A|F|N/A|N/A|N/A|Cells|N/A|in_vitro|N/A|N/A|oxidative bisulfite|Small Molecule
GSM5482289|N/A|N/A|F|N/A|N/A|N/A|Cells|N/A|in_vitro|N/A|N/A|bisulfite|Small Molecule
GSM5482290|N/A|N/A|F|N/A|N/A|N/A|Cells|N/A|in_vitro|N/A|N/A|oxidative bisulfite|Small Molecule
GSM5482291|N/A|N/A|F|N/A|N/A|N/A|Cells|N/A|in_vitro|N/A|N/A|bisulfite|Small Molecule
GSM5482292|N/A|N/A|F|N/A|N/A|N/A|Cells|N/A|in_vitro|N/A|N/A|oxidative bisulfite|Small Molecule
GSM5482293|N/A|N/A|F|N/A|N/A|N/A|Cells|N/A|in_vitro|N/A|N/A|bisulfite|Small Molecule
GSM5482294|N/A|N/A|F|N/A|N/A|N/A|Cells|N/A|in_vitro|N/A|N/A|oxidative bisulfite|Small Molecule
GSM5482295|N/A|N/A|F|N/A|N/A|N/A|Cells|N/A|in_vitro|N/A|N/A|bisulfite|Small Molecule
GSM5482296|N/A|N/A|F|N/A|N/A|N/A|Cells|N/A|in_vitro|N/A|N/A|oxidative bisulfite|Small Molecule
