GSM2323418|N/A|N/A|N/A|N/A|N/A|Triple Negative Breast Cancer|Breast|SUM159 breast carcinoma cell line|in_vitro|N/A|N/A|DMSO|Small Molecule
GSM2323419|N/A|N/A|N/A|N/A|N/A|Triple Negative Breast Cancer|Breast|SUM159 breast carcinoma cell line|in_vitro|N/A|N/A|100nM trametinib|Small Molecule
GSM2323420|N/A|N/A|N/A|N/A|N/A|Triple Negative Breast Cancer|Breast|EpCAM/CD49f positive SUM229 breast carcinoma subpopulation|in_vitro|N/A|N/A|DMSO|Small Molecule
GSM2323421|N/A|N/A|N/A|N/A|N/A|Triple Negative Breast Cancer|Breast|EpCAM/CD49f positive SUM229 breast carcinoma subpopulation|in_vitro|N/A|N/A|30nM trametinib|Small Molecule
GSM2323422|N/A|N/A|N/A|N/A|N/A|Triple Negative Breast Cancer|Breast|EpCAM/CD49f negative SUM229 breast carcinoma subpopulation|in_vitro|N/A|N/A|DMSO|Small Molecule
GSM2323423|N/A|N/A|N/A|N/A|N/A|Triple Negative Breast Cancer|Breast|EpCAM/CD49f negative SUM229 breast carcinoma subpopulation|in_vitro|N/A|N/A|30nM trametinib|Small Molecule
GSM2323424|N/A|N/A|N/A|N/A|N/A|Triple Negative Breast Cancer|Breast|EpCAM/CD49f positive SUM149 breast carcinoma subpopulation|in_vitro|N/A|N/A|DMSO|Small Molecule
GSM2323425|N/A|N/A|N/A|N/A|N/A|Triple Negative Breast Cancer|Breast|EpCAM/CD49f positive SUM149 breast carcinoma subpopulation|in_vitro|N/A|N/A|30nM trametinib|Small Molecule
GSM2323426|N/A|N/A|N/A|N/A|N/A|Triple Negative Breast Cancer|Breast|EpCAM/CD49f negative SUM149 breast carcinoma subpopulation|in_vitro|N/A|N/A|DMSO|Small Molecule
GSM2323427|N/A|N/A|N/A|N/A|N/A|Triple Negative Breast Cancer|Breast|EpCAM/CD49f negative SUM149 breast carcinoma subpopulation|in_vitro|N/A|N/A|30nM trametinib|Small Molecule
GSM2323428|N/A|N/A|N/A|N/A|N/A|N/A|N/A|Human WGA Methylated DNA|in_vitro|N/A|N/A|N/A|N/A
GSM2323429|N/A|N/A|N/A|N/A|N/A|N/A|N/A|Human WGA Non-methylated DNA|in_vitro|N/A|N/A|N/A|N/A
