GSM849974|N/A|N/A|F|66|N/A|N/A|Skin|dermal lymphatic endothelial cells|in_vitro|ctrl|N/A|N/A|Disease
GSM849975|N/A|N/A|F|60|N/A|N/A|Skin|dermal blood endothelial cells|in_vitro|ctrl|N/A|N/A|Disease
GSM849976|N/A|N/A|F|69|N/A|N/A|Skin|dermal lymphatic endothelial cells|in_vitro|ctrl|N/A|N/A|Disease
GSM849977|N/A|N/A|F|73|N/A|N/A|Skin|dermal blood endothelial cells|in_vitro|ctrl|N/A|N/A|Disease
GSM849978|N/A|N/A|F|65|N/A|N/A|Skin|dermal lymphatic endothelial cells|in_vitro|ctrl|N/A|N/A|Disease
GSM849979|N/A|N/A|F|65|N/A|N/A|Skin|dermal blood endothelial cells|in_vitro|ctrl|N/A|N/A|Disease
GSM849980|N/A|N/A|F|23|N/A|N/A|Skin|dermal lymphatic endothelial cells|in_vitro|ctrl|N/A|N/A|Disease
GSM849981|N/A|N/A|F|29|N/A|N/A|Skin|dermal lymphatic endothelial cells|in_vitro|ctrl|N/A|N/A|Disease
GSM849982|N/A|N/A|F|30|N/A|N/A|Skin|dermal lymphatic endothelial cells|in_vitro|ctrl|N/A|N/A|Disease
GSM849983|N/A|N/A|F|66|N/A|N/A|Skin|dermal lymphatic endothelial cells|in_vitro|ctrl|N/A|N/A|Disease
GSM849984|N/A|N/A|F|36|N/A|N/A|Skin|dermal blood endothelial cells|in_vitro|ctrl|N/A|N/A|Disease
GSM849985|N/A|N/A|F|70|N/A|N/A|Skin|dermal lymphatic endothelial cells|in_vitro|ctrl|N/A|N/A|Disease
GSM849986|N/A|N/A|F|29|N/A|N/A|Skin|dermal lymphatic endothelial cells|in_vitro|ctrl|N/A|N/A|Disease
GSM849987|N/A|N/A|F|22|N/A|N/A|Skin|dermal lymphatic endothelial cells|in_vitro|ctrl|N/A|N/A|Disease
GSM849988|N/A|N/A|F|65|N/A|N/A|Skin|dermal blood endothelial cells|in_vitro|ctrl|N/A|N/A|Disease
GSM849989|N/A|N/A|F|66|N/A|N/A|Skin|dermal blood endothelial cells|in_vitro|ctrl|N/A|N/A|Disease
