GSM4422553|N/A|N/A|N/A|N/A|N/A|alveolar rhabdomyosarcoma|N/A|Rh30|in_vitro|ctrl|Control|DMSO|Small Molecule
GSM4422554|N/A|N/A|N/A|N/A|N/A|alveolar rhabdomyosarcoma|N/A|Rh30|in_vitro|ctrl|Control|DMSO|Small Molecule
GSM4422555|N/A|N/A|N/A|N/A|N/A|alveolar rhabdomyosarcoma|N/A|Rh30|in_vitro|ctrl|Control|DMSO|Small Molecule
GSM4422556|N/A|N/A|N/A|N/A|N/A|alveolar rhabdomyosarcoma|N/A|Rh30|in_vitro|case|Drug treated|SGI-110|Small Molecule
GSM4422557|N/A|N/A|N/A|N/A|N/A|alveolar rhabdomyosarcoma|N/A|Rh30|in_vitro|case|Drug treated|SGI-110|Small Molecule
GSM4422558|N/A|N/A|N/A|N/A|N/A|alveolar rhabdomyosarcoma|N/A|Rh30|in_vitro|case|Drug treated|SGI-110|Small Molecule
GSM4422559|N/A|N/A|N/A|N/A|N/A|embryonal rhabdomyosarcoma|N/A|RD|in_vitro|ctrl|Control|DMSO|Small Molecule
GSM4422560|N/A|N/A|N/A|N/A|N/A|embryonal rhabdomyosarcoma|N/A|RD|in_vitro|ctrl|Control|DMSO|Small Molecule
GSM4422561|N/A|N/A|N/A|N/A|N/A|embryonal rhabdomyosarcoma|N/A|RD|in_vitro|ctrl|Control|DMSO|Small Molecule
GSM4422562|N/A|N/A|N/A|N/A|N/A|embryonal rhabdomyosarcoma|N/A|RD|in_vitro|case|Drug treated|SGI-110|Small Molecule
GSM4422563|N/A|N/A|N/A|N/A|N/A|embryonal rhabdomyosarcoma|N/A|RD|in_vitro|case|Drug treated|SGI-110|Small Molecule
GSM4422564|N/A|N/A|N/A|N/A|N/A|embryonal rhabdomyosarcoma|N/A|RD|in_vitro|case|Drug treated|SGI-110|Small Molecule
