GSM786389|11911|N/A|N/A|N/A|N/A|N/A|Other|decidual macrophages|N/A|N/A|N/A|N/A|N/A
GSM786390|12091|N/A|N/A|N/A|N/A|N/A|Other|villous macrophages|N/A|N/A|N/A|N/A|N/A
GSM786391|12168|N/A|N/A|N/A|N/A|N/A|Whole Blood|cord blood monocytes|N/A|N/A|N/A|N/A|N/A
GSM786392|12420|N/A|N/A|N/A|N/A|N/A|Whole Blood|maternal blood monocytes|N/A|N/A|N/A|N/A|N/A
GSM786393|12091|N/A|N/A|N/A|N/A|N/A|Whole Blood|cord blood monocytes|N/A|N/A|N/A|N/A|N/A
GSM786394|12168|N/A|N/A|N/A|N/A|N/A|Other|decidual macrophages|N/A|N/A|N/A|N/A|N/A
GSM786395|11911|N/A|N/A|N/A|N/A|N/A|Other|villous macrophages|N/A|N/A|N/A|N/A|N/A
GSM786396|11911|N/A|N/A|N/A|N/A|N/A|Whole Blood|maternal blood monocytes|N/A|N/A|N/A|N/A|N/A
GSM786397|11966|N/A|N/A|N/A|N/A|N/A|Whole Blood|maternal blood monocytes|N/A|N/A|N/A|N/A|N/A
GSM786398|11911|N/A|N/A|N/A|N/A|N/A|Whole Blood|cord blood monocytes|N/A|N/A|N/A|N/A|N/A
GSM786399|12091|N/A|N/A|N/A|N/A|N/A|Other|decidual macrophages|N/A|N/A|N/A|N/A|N/A
GSM786400|11573|N/A|N/A|N/A|N/A|N/A|Other|villous macrophages|N/A|N/A|N/A|N/A|N/A
GSM786401|11573|N/A|N/A|N/A|N/A|N/A|Whole Blood|cord blood monocytes|N/A|N/A|N/A|N/A|N/A
GSM786402|11573|N/A|N/A|N/A|N/A|N/A|Whole Blood|maternal blood monocytes|N/A|N/A|N/A|N/A|N/A
GSM786403|11573|N/A|N/A|N/A|N/A|N/A|Other|decidual macrophages|N/A|N/A|N/A|N/A|N/A
GSM786404|12168|N/A|N/A|N/A|N/A|N/A|Other|villous macrophages|N/A|N/A|N/A|N/A|N/A
GSM786405|12420|N/A|N/A|N/A|N/A|N/A|Other|villous macrophages|N/A|N/A|N/A|N/A|N/A
GSM786406|11966|N/A|N/A|N/A|N/A|N/A|Whole Blood|cord blood monocytes|N/A|N/A|N/A|N/A|N/A
GSM786407|11966|N/A|N/A|N/A|N/A|N/A|Other|decidual macrophages|N/A|N/A|N/A|N/A|N/A
GSM786408|11966|N/A|N/A|N/A|N/A|N/A|Other|villous macrophages|N/A|N/A|N/A|N/A|N/A
GSM786409|12420|N/A|N/A|N/A|N/A|N/A|Other|decidual macrophages|N/A|N/A|N/A|N/A|N/A
GSM786410|12091|N/A|N/A|N/A|N/A|N/A|Whole Blood|maternal blood monocytes|N/A|N/A|N/A|N/A|N/A
GSM786411|12168|N/A|N/A|N/A|N/A|N/A|Whole Blood|maternal blood monocytes|N/A|N/A|N/A|N/A|N/A
GSM786412|12420|N/A|N/A|N/A|N/A|N/A|Whole Blood|cord blood monocytes|N/A|N/A|N/A|N/A|N/A
