GSM3017348|N/A|N/A|M|N/A|N/A|N/A|N/A|Cells|N/A|N/A|ctrl|N/A|N/A
GSM3017427|N/A|N/A|F|N/A|N/A|N/A|N/A|Cells|N/A|N/A|case|N/A|N/A
GSM3017310|N/A|N/A|F|N/A|N/A|N/A|N/A|Cells|N/A|N/A|ctrl|N/A|N/A
GSM3017330|N/A|N/A|F|N/A|N/A|N/A|N/A|Cells|N/A|N/A|ctrl|N/A|N/A
GSM3017447|N/A|N/A|M|N/A|N/A|N/A|N/A|Cells|N/A|N/A|ctrl|N/A|N/A
GSM3017305|N/A|N/A|F|N/A|N/A|N/A|N/A|Cells|N/A|N/A|ctrl|N/A|N/A
GSM3017444|N/A|N/A|F|N/A|N/A|N/A|N/A|Cells|N/A|N/A|ctrl|N/A|N/A
GSM3017331|N/A|N/A|M|N/A|N/A|N/A|N/A|Cells|N/A|N/A|ctrl|N/A|N/A
GSM3017430|N/A|N/A|F|N/A|N/A|N/A|N/A|Cells|N/A|N/A|ctrl|N/A|N/A
GSM3017451|N/A|N/A|M|N/A|N/A|N/A|N/A|Cells|N/A|N/A|ctrl|N/A|N/A
GSM3017317|N/A|N/A|F|N/A|N/A|N/A|N/A|Cells|N/A|N/A|ctrl|N/A|N/A
GSM3017379|N/A|N/A|F|N/A|N/A|N/A|N/A|Cells|N/A|N/A|ctrl|N/A|N/A
GSM3017435|N/A|N/A|M|N/A|N/A|N/A|N/A|Cells|N/A|N/A|ctrl|N/A|N/A
GSM3017308|N/A|N/A|M|N/A|N/A|N/A|N/A|Cells|N/A|N/A|ctrl|N/A|N/A
GSM3017350|N/A|N/A|F|N/A|N/A|N/A|N/A|Cells|N/A|N/A|ctrl|N/A|N/A
GSM3017353|N/A|N/A|M|N/A|N/A|N/A|N/A|Cells|N/A|N/A|ctrl|N/A|N/A
GSM3017455|N/A|N/A|M|N/A|N/A|N/A|N/A|Cells|N/A|N/A|ctrl|N/A|N/A
GSM3017383|N/A|N/A|F|N/A|N/A|N/A|N/A|Cells|N/A|N/A|ctrl|N/A|N/A
GSM3017407|N/A|N/A|M|N/A|N/A|N/A|N/A|Cells|N/A|N/A|ctrl|N/A|N/A
GSM3017419|N/A|N/A|F|N/A|N/A|N/A|N/A|Cells|N/A|N/A|ctrl|N/A|N/A
