GSM1632397|N/A|N/A|N/A|N/A|N/A|N/A|Liver|Hepatic Stellate Cells|in_vitro|N/A|N/A|N/A|N/A
GSM1632398|N/A|N/A|N/A|N/A|N/A|N/A|Liver|Hepatic Stellate Cells|in_vitro|N/A|N/A|N/A|N/A
GSM1632399|N/A|N/A|N/A|N/A|N/A|N/A|Liver|Hepatic Stellate Cells|in_vitro|N/A|N/A|N/A|N/A
GSM1632400|N/A|N/A|N/A|N/A|N/A|N/A|Liver|Hepatic Stellate Cells|in_vitro|N/A|N/A|N/A|N/A
GSM1632401|N/A|N/A|N/A|N/A|N/A|N/A|Liver|Liver Sinusoidal Endothelial Cells|in_vitro|N/A|N/A|N/A|N/A
GSM1632402|N/A|N/A|N/A|N/A|N/A|N/A|Liver|Liver Sinusoidal Endothelial Cells|in_vitro|N/A|N/A|N/A|N/A
GSM1632403|N/A|N/A|N/A|N/A|N/A|N/A|Liver|Hepatic Stellate Cells|in_vitro|N/A|N/A|N/A|N/A
GSM1632404|N/A|N/A|N/A|N/A|N/A|N/A|Liver|Hepatic Stellate Cells|in_vitro|N/A|N/A|N/A|N/A
GSM1632405|N/A|N/A|N/A|N/A|N/A|N/A|Liver|Hepatocytes|in_vitro|N/A|N/A|N/A|N/A
GSM1632406|N/A|N/A|N/A|N/A|N/A|N/A|Liver|Hepatocytes|in_vitro|N/A|N/A|N/A|N/A
