GSM1889928|N/A|N/A|N/A|N/A|N/A|Glioblastoma|Brain|N/A|in_vitro|N/A|N/A|N/A|Genetic
GSM1889929|N/A|N/A|N/A|N/A|N/A|Glioblastoma|Brain|N/A|in_vitro|N/A|N/A|Dimethyl sulfoxide|Small Molecule
GSM1889930|N/A|N/A|N/A|N/A|N/A|Glioblastoma|Brain|N/A|in_vitro|N/A|N/A|Dimethyl sulfoxide|Small Molecule
GSM1889931|N/A|N/A|N/A|N/A|N/A|Glioblastoma|Brain|N/A|in_vitro|N/A|N/A|Isocitrate dehydrogenase 1 inhibitor|Small Molecule
GSM1889932|N/A|N/A|N/A|N/A|N/A|Glioblastoma|Brain|N/A|in_vitro|N/A|N/A|N/A|Disease
GSM1889933|N/A|N/A|N/A|N/A|N/A|Glioblastoma|Brain|N/A|in_vitro|N/A|N/A|N/A|Disease
GSM1889934|N/A|N/A|N/A|N/A|N/A|Glioblastoma|Brain|N/A|in_vitro|N/A|N/A|N/A|Disease
GSM1889935|N/A|N/A|N/A|N/A|N/A|Glioblastoma|Brain|N/A|in_vitro|N/A|N/A|N/A|Disease
GSM1889936|N/A|N/A|N/A|N/A|N/A|Fibrosarcoma|N/A|HT1080|in_vitro|N/A|N/A|N/A|Disease
GSM1889937|N/A|N/A|N/A|N/A|N/A|Glioblastoma|Brain|N/A|in_vitro|N/A|N/A|N/A|Disease
GSM1889938|N/A|N/A|N/A|N/A|N/A|Healthy|N/A|N/A|in_vitro|ctrl|N/A|N/A|None
