GSM1261682|SAMPLE 1|N/A|N/A|N/A|N/A|Healthy|Other|H9|in_vitro|N/A|N/A|N/A|N/A
GSM1261683|SAMPLE 2|N/A|N/A|N/A|N/A|Healthy|Other|Beta Cell|in_vivo|N/A|N/A|N/A|N/A
GSM1261684|SAMPLE 3|N/A|N/A|N/A|N/A|Healthy|Other|Beta Cell|in_vivo|N/A|N/A|N/A|N/A
GSM1261685|SAMPLE 4|N/A|N/A|N/A|N/A|Healthy|Other|Reprogrammed Beta Cell|in_vitro|N/A|N/A|N/A|Genetic
GSM1261686|SAMPLE 5|N/A|N/A|N/A|N/A|Healthy|Other|Reprogrammed Beta Cell|in_vitro|N/A|N/A|N/A|Genetic
GSM1261687|SAMPLE 6|N/A|N/A|N/A|N/A|Healthy|Skin|Fibroblast|in_vivo|N/A|N/A|N/A|N/A
GSM1261688|SAMPLE 7|N/A|N/A|N/A|N/A|Healthy|Skin|Reprogrammed Fibroblast|in_vitro|N/A|N/A|N/A|Genetic
GSM1261689|SAMPLE 8|N/A|N/A|N/A|N/A|Healthy|Skin|Reprogrammed Fibroblast|in_vitro|N/A|N/A|N/A|Genetic
GSM1261690|SAMPLE 9|N/A|N/A|N/A|N/A|Healthy|Other|Parthenogenetic Cell|in_vivo|N/A|N/A|N/A|N/A
GSM1261691|SAMPLE 10|N/A|N/A|N/A|N/A|Healthy|Other|Parthenogenetic Cell|in_vivo|N/A|N/A|N/A|N/A
GSM1261692|SAMPLE 11|N/A|N/A|N/A|N/A|Healthy|Other|Reprogrammed Parthenogenetic Cell|in_vitro|N/A|N/A|N/A|Genetic
GSM1261693|SAMPLE 12|N/A|N/A|N/A|N/A|Healthy|Other|Reprogrammed Parthenogenetic Cell|in_vitro|N/A|N/A|N/A|Genetic
GSM1261694|SAMPLE 13|N/A|N/A|N/A|N/A|Healthy|Other|Reprogrammed Parthenogenetic Cell|in_vitro|N/A|N/A|N/A|Genetic
