GSM1669839|N/A|N/A|N/A|N/A|N/A|lung_NSCLC_squamous_cell_carcinoma|Lung|HARA|in_vitro|N/A|N/A|N/A|N/A
GSM1670040|N/A|N/A|N/A|N/A|N/A|kidney|Kidney|LB996-RCC|in_vitro|N/A|N/A|N/A|N/A
GSM1669584|N/A|N/A|N/A|N/A|N/A|B_cell_lymphoma|Whole Blood|A3-KAW|in_vitro|N/A|N/A|N/A|N/A
GSM1669622|N/A|N/A|N/A|N/A|N/A|head and neck|Other|BICR22|in_vitro|N/A|N/A|N/A|N/A
GSM1670429|N/A|N/A|N/A|N/A|N/A|cervix|Cervix|SKG-IIIA|in_vitro|N/A|N/A|N/A|N/A
GSM1669932|N/A|N/A|N/A|N/A|N/A|myeloma|Whole Blood|IM-9|in_vitro|N/A|N/A|N/A|N/A
GSM1670530|N/A|N/A|N/A|N/A|N/A|oesophagus|Esophagus|TE-11|in_vitro|N/A|N/A|N/A|N/A
GSM1669585|N/A|N/A|N/A|N/A|N/A|lung_NSCLC_not specified|Lung|A427|in_vitro|N/A|N/A|N/A|N/A
GSM1669759|N/A|N/A|N/A|N/A|N/A|lymphoid_neoplasm other|Whole Blood|EHEB|in_vitro|N/A|N/A|N/A|N/A
GSM1670577|N/A|N/A|N/A|N/A|N/A|melanoma|Skin|WM1552C|in_vitro|N/A|N/A|N/A|N/A
GSM1670140|N/A|N/A|N/A|N/A|N/A|melanoma|Skin|MZ2-MEL|in_vitro|N/A|N/A|N/A|N/A
GSM1669883|N/A|N/A|N/A|N/A|N/A|acute_myeloid_leukaemia|Whole Blood|HL-60|in_vitro|N/A|N/A|N/A|N/A
GSM1669741|N/A|N/A|N/A|N/A|N/A|head and neck|Other|DOK|in_vitro|N/A|N/A|N/A|N/A
GSM1669969|N/A|N/A|N/A|N/A|N/A|acute_myeloid_leukaemia|Whole Blood|K052|in_vitro|N/A|N/A|N/A|N/A
GSM1670487|N/A|N/A|N/A|N/A|N/A|B_cell_lymphoma|Whole Blood|SU-DHL-6|in_vitro|N/A|N/A|N/A|N/A
GSM1669749|N/A|N/A|N/A|N/A|N/A|lung_NSCLC_squamous_cell_carcinoma|Lung|EBC-1|in_vitro|N/A|N/A|N/A|N/A
GSM1670197|N/A|N/A|N/A|N/A|N/A|lung_small_cell_carcinoma|Lung|NCI-H187|in_vitro|N/A|N/A|N/A|N/A
GSM1669563|N/A|N/A|N/A|N/A|N/A|bladder|Bladder|5637|in_vitro|N/A|N/A|N/A|N/A
GSM1670060|N/A|N/A|N/A|N/A|N/A|large_intestine|Colon|LS-180|in_vitro|N/A|N/A|N/A|N/A
GSM1669615|N/A|N/A|N/A|N/A|N/A|glioma|Brain|BECKER|in_vitro|N/A|N/A|N/A|N/A
GSM1669922|N/A|N/A|N/A|N/A|N/A|pancreas|Pancreas|HUP-T3|in_vitro|N/A|N/A|N/A|N/A
GSM1670236|N/A|N/A|N/A|N/A|N/A|mesothelioma|Lung|NCI-H28|in_vitro|N/A|N/A|N/A|N/A
GSM1669762|N/A|N/A|N/A|N/A|N/A|chronic_myeloid_leukaemia|Whole Blood|EM-2|in_vitro|N/A|N/A|N/A|N/A
GSM1670254|N/A|N/A|N/A|N/A|N/A|lung_NSCLC_not specified|Lung|NCI-H647|in_vitro|N/A|N/A|N/A|N/A
GSM1669830|N/A|N/A|N/A|N/A|N/A|mesothelioma|Lung|H2869|in_vitro|N/A|N/A|N/A|N/A
GSM1670289|N/A|N/A|N/A|N/A|N/A|osteosarcoma|Other|NY|in_vitro|N/A|N/A|N/A|N/A
GSM1670155|N/A|N/A|N/A|N/A|N/A|neuroblastoma|Nerve|NB7|in_vitro|N/A|N/A|N/A|N/A
GSM1669909|N/A|N/A|N/A|N/A|N/A|large_intestine|Colon|HT-115|in_vitro|N/A|N/A|N/A|N/A
GSM1669914|N/A|N/A|N/A|N/A|N/A|cervix|Cervix|HT-3|in_vitro|N/A|N/A|N/A|N/A
GSM1669991|N/A|N/A|N/A|N/A|N/A|acute_myeloid_leukaemia|Whole Blood|KMOE-2|in_vitro|N/A|N/A|N/A|N/A
GSM1669681|N/A|N/A|N/A|N/A|N/A|large_intestine|Colon|CL-40|in_vitro|N/A|N/A|N/A|N/A
GSM1670127|N/A|N/A|N/A|N/A|N/A|lymphoblastic_T_cell_leukaemia|Whole Blood|MOLT-16|in_vitro|N/A|N/A|N/A|N/A
GSM1670439|N/A|N/A|N/A|N/A|N/A|melanoma|Skin|SK-MEL-28|in_vitro|N/A|N/A|N/A|N/A
GSM1669574|N/A|N/A|N/A|N/A|N/A|thyroid|Thyroid|8505C|in_vitro|N/A|N/A|N/A|N/A
GSM1669898|N/A|N/A|N/A|N/A|N/A|stomach|Stomach|HS746T|in_vitro|N/A|N/A|N/A|N/A
GSM1670306|N/A|N/A|N/A|N/A|N/A|medulloblastoma|Brain|ONS-76|in_vitro|N/A|N/A|N/A|N/A
GSM1669647|N/A|N/A|N/A|N/A|N/A|breast|Breast|CAL-148|in_vitro|N/A|N/A|N/A|N/A
