GSM2137094|N/A|N/A|N/A|N/A|N/A|Breast Cancer|Breast|N/A|in_vitro|ctrl|Control Group Ethanol|Ethanol|Environmental
GSM2137095|N/A|N/A|N/A|N/A|N/A|Breast Cancer|Breast|N/A|in_vitro|ctrl|Control Group Ethanol|Ethanol|Environmental
GSM2137096|N/A|N/A|N/A|N/A|N/A|Breast Cancer|Breast|N/A|in_vitro|ctrl|Control Group Ethanol|Ethanol|Environmental
GSM2137097|N/A|N/A|N/A|N/A|N/A|Breast Cancer|Breast|N/A|in_vitro|case|Treatment Group RSV|Resveratrol|Small Molecule
GSM2137098|N/A|N/A|N/A|N/A|N/A|Breast Cancer|Breast|N/A|in_vitro|case|Treatment Group RSV|Resveratrol|Small Molecule
GSM2137099|N/A|N/A|N/A|N/A|N/A|Breast Cancer|Breast|N/A|in_vitro|case|Treatment Group RSV|Resveratrol|Small Molecule
GSM2137100|N/A|N/A|N/A|N/A|N/A|Breast Cancer|Breast|N/A|in_vitro|ctrl|Control Group Ethanol|Ethanol|Environmental
GSM2137101|N/A|N/A|N/A|N/A|N/A|Breast Cancer|Breast|N/A|in_vitro|ctrl|Control Group Ethanol|Ethanol|Environmental
GSM2137102|N/A|N/A|N/A|N/A|N/A|Breast Cancer|Breast|N/A|in_vitro|ctrl|Control Group Ethanol|Ethanol|Environmental
GSM2137103|N/A|N/A|N/A|N/A|N/A|Breast Cancer|Breast|N/A|in_vitro|case|Treatment Group RSV|Resveratrol|Small Molecule
GSM2137104|N/A|N/A|N/A|N/A|N/A|Breast Cancer|Breast|N/A|in_vitro|case|Treatment Group RSV|Resveratrol|Small Molecule
GSM2137105|N/A|N/A|N/A|N/A|N/A|Breast Cancer|Breast|N/A|in_vitro|case|Treatment Group RSV|Resveratrol|Small Molecule
