GSM2570249|N/A|N/A|N/A|N/A|N/A|Healthy|Whole Blood|N/A|in_vitro|ctrl|BS-MO D1|M-CSF|Disease
GSM2570250|N/A|N/A|N/A|N/A|N/A|Healthy|Whole Blood|N/A|in_vitro|ctrl|BS-MO D2|M-CSF|Disease
GSM2570251|N/A|N/A|N/A|N/A|N/A|Healthy|Whole Blood|N/A|in_vitro|ctrl|BS-MO D3|M-CSF|Disease
GSM2570252|N/A|N/A|N/A|N/A|N/A|Healthy|Whole Blood|N/A|in_vitro|case|BS-MAC5 D1|M-CSF|Disease
GSM2570253|N/A|N/A|N/A|N/A|N/A|Healthy|Whole Blood|N/A|in_vitro|case|BS-MAC5 D2|M-CSF|Disease
GSM2570254|N/A|N/A|N/A|N/A|N/A|Healthy|Whole Blood|N/A|in_vitro|case|BS-MAC5 D3|M-CSF|Disease
GSM2570255|N/A|N/A|N/A|N/A|N/A|Healthy|Whole Blood|N/A|in_vitro|case|BS-OC5 D1|M-CSF/RANKL|Disease
GSM2570256|N/A|N/A|N/A|N/A|N/A|Healthy|Whole Blood|N/A|in_vitro|case|BS-OC5 D2|M-CSF/RANKL|Disease
GSM2570257|N/A|N/A|N/A|N/A|N/A|Healthy|Whole Blood|N/A|in_vitro|case|BS-OC5 D3|M-CSF/RANKL|Disease
GSM2570258|N/A|N/A|N/A|N/A|N/A|Healthy|Whole Blood|N/A|in_vitro|case|BS-MAC20 D1|M-CSF|Disease
GSM2570259|N/A|N/A|N/A|N/A|N/A|Healthy|Whole Blood|N/A|in_vitro|case|BS-MAC20 D2|M-CSF|Disease
GSM2570260|N/A|N/A|N/A|N/A|N/A|Healthy|Whole Blood|N/A|in_vitro|case|BS-MAC20 D3|M-CSF|Disease
GSM2570261|N/A|N/A|N/A|N/A|N/A|Healthy|Whole Blood|N/A|in_vitro|case|BS-OC20 D1|M-CSF/RANKL|Disease
GSM2570262|N/A|N/A|N/A|N/A|N/A|Healthy|Whole Blood|N/A|in_vitro|case|BS-OC20 D2|M-CSF/RANKL|Disease
GSM2570263|N/A|N/A|N/A|N/A|N/A|Healthy|Whole Blood|N/A|in_vitro|case|BS-OC20 D3|M-CSF/RANKL|Disease
GSM2570264|N/A|N/A|N/A|N/A|N/A|Healthy|Whole Blood|N/A|in_vitro|ctrl|oxBS-MO D1|M-CSF|Disease
GSM2570265|N/A|N/A|N/A|N/A|N/A|Healthy|Whole Blood|N/A|in_vitro|ctrl|oxBS-MO D2|M-CSF|Disease
GSM2570266|N/A|N/A|N/A|N/A|N/A|Healthy|Whole Blood|N/A|in_vitro|ctrl|oxBS-MO D3|M-CSF|Disease
GSM2570267|N/A|N/A|N/A|N/A|N/A|Healthy|Whole Blood|N/A|in_vitro|case|oxBS-MAC5 D1|M-CSF|Disease
GSM2570268|N/A|N/A|N/A|N/A|N/A|Healthy|Whole Blood|N/A|in_vitro|case|oxBS-MAC5 D2|M-CSF|Disease
GSM2570269|N/A|N/A|N/A|N/A|N/A|Healthy|Whole Blood|N/A|in_vitro|case|oxBS-MAC5 D3|M-CSF|Disease
GSM2570270|N/A|N/A|N/A|N/A|N/A|Healthy|Whole Blood|N/A|in_vitro|case|oxBS-OC5 D1|M-CSF/RANKL|Disease
GSM2570271|N/A|N/A|N/A|N/A|N/A|Healthy|Whole Blood|N/A|in_vitro|case|oxBS-OC5 D2|M-CSF/RANKL|Disease
GSM2570272|N/A|N/A|N/A|N/A|N/A|Healthy|Whole Blood|N/A|in_vitro|case|oxBS-OC5 D3|M-CSF/RANKL|Disease
GSM2570273|N/A|N/A|N/A|N/A|N/A|Healthy|Whole Blood|N/A|in_vitro|case|oxBS-MAC20 D1|M-CSF|Disease
GSM2570274|N/A|N/A|N/A|N/A|N/A|Healthy|Whole Blood|N/A|in_vitro|case|oxBS-MAC20 D2|M-CSF|Disease
GSM2570275|N/A|N/A|N/A|N/A|N/A|Healthy|Whole Blood|N/A|in_vitro|case|oxBS-MAC20 D3|M-CSF|Disease
GSM2570276|N/A|N/A|N/A|N/A|N/A|Healthy|Whole Blood|N/A|in_vitro|case|oxBS-OC20 D1|M-CSF/RANKL|Disease
GSM2570277|N/A|N/A|N/A|N/A|N/A|Healthy|Whole Blood|N/A|in_vitro|case|oxBS-OC20 D2|M-CSF/RANKL|Disease
GSM2570278|N/A|N/A|N/A|N/A|N/A|Healthy|Whole Blood|N/A|in_vitro|case|oxBS-OC20 D3|M-CSF/RANKL|Disease
