GSM1080043|N/A|N/A|N/A|N/A|A549 human epithelial lung carcinoma cells|N/A|Lung|A549|in_vitro|ctrl|Control Group|zero dose of sodium arsenite|Environmental
GSM1080044|N/A|N/A|N/A|N/A|A549 human epithelial lung carcinoma cells|N/A|Lung|A549|in_vitro|case|Low Dose 1 Week|0.08 µM of sodium arsenite|Environmental
GSM1080045|N/A|N/A|N/A|N/A|A549 human epithelial lung carcinoma cells|N/A|Lung|A549|in_vitro|case|Medium Dose 1 Week|0.4 µM of sodium arsenite|Environmental
GSM1080046|N/A|N/A|N/A|N/A|A549 human epithelial lung carcinoma cells|N/A|Lung|A549|in_vitro|case|High Dose 1 Week|2 µM of sodium arsenite|Environmental
GSM1080047|N/A|N/A|N/A|N/A|A549 human epithelial lung carcinoma cells|N/A|Lung|A549|in_vitro|ctrl|Control Group|zero dose of sodium arsenite|Environmental
GSM1080048|N/A|N/A|N/A|N/A|A549 human epithelial lung carcinoma cells|N/A|Lung|A549|in_vitro|case|Low Dose 2 Weeks|0.08 µM of sodium arsenite|Environmental
GSM1080049|N/A|N/A|N/A|N/A|A549 human epithelial lung carcinoma cells|N/A|Lung|A549|in_vitro|case|Medium Dose 2 Weeks|0.4 µM of sodium arsenite|Environmental
GSM1080050|N/A|N/A|N/A|N/A|A549 human epithelial lung carcinoma cells|N/A|Lung|A549|in_vitro|case|High Dose 2 Weeks|2 µM of sodium arsenite|Environmental
GSM1080051|N/A|N/A|N/A|N/A|A549 human epithelial lung carcinoma cells|N/A|Lung|A549|in_vitro|ctrl|Control Group|zero dose of sodium arsenite|Environmental
GSM1080052|N/A|N/A|N/A|N/A|A549 human epithelial lung carcinoma cells|N/A|Lung|A549|in_vitro|case|Low Dose 8 Weeks|0.08 µM of sodium arsenite|Environmental
GSM1080053|N/A|N/A|N/A|N/A|A549 human epithelial lung carcinoma cells|N/A|Lung|A549|in_vitro|case|Medium Dose 8 Weeks|0.4 µM of sodium arsenite|Environmental
GSM1080054|N/A|N/A|N/A|N/A|A549 human epithelial lung carcinoma cells|N/A|Lung|A549|in_vitro|case|High Dose 8 Weeks|2 µM of sodium arsenite|Environmental
GSM1080055|N/A|N/A|N/A|N/A|A549 human epithelial lung carcinoma cells|N/A|Lung|A549|in_vitro|ctrl|Control Group|zero dose of sodium arsenite|Environmental
GSM1080056|N/A|N/A|N/A|N/A|A549 human epithelial lung carcinoma cells|N/A|Lung|A549|in_vitro|case|Low Dose 1 Week|0.08 µM of sodium arsenite|Environmental
GSM1080057|N/A|N/A|N/A|N/A|A549 human epithelial lung carcinoma cells|N/A|Lung|A549|in_vitro|case|Medium Dose 1 Week|0.4 µM of sodium arsenite|Environmental
GSM1080086|N/A|N/A|N/A|N/A|A549 human epithelial lung carcinoma cells|N/A|Lung|A549|in_vitro|case|High Dose 1 Week|2 µM of sodium arsenite|Environmental
GSM1080087|N/A|N/A|N/A|N/A|A549 human epithelial lung carcinoma cells|N/A|Lung|A549|in_vitro|ctrl|Control Group|zero dose of sodium arsenite|Environmental
GSM1080088|N/A|N/A|N/A|N/A|A549 human epithelial lung carcinoma cells|N/A|Lung|A549|in_vitro|case|Low Dose 2 Weeks|0.08 µM of sodium arsenite|Environmental
GSM1080089|N/A|N/A|N/A|N/A|A549 human epithelial lung carcinoma cells|N/A|Lung|A549|in_vitro|case|Medium Dose 2 Weeks|0.4 µM of sodium arsenite|Environmental
GSM1080090|N/A|N/A|N/A|N/A|A549 human epithelial lung carcinoma cells|N/A|Lung|A549|in_vitro|case|High Dose 2 Weeks|2 µM of sodium arsenite|Environmental
GSM1080091|N/A|N/A|N/A|N/A|A549 human epithelial lung carcinoma cells|N/A|Lung|A549|in_vitro|ctrl|Control Group|zero dose of sodium arsenite|Environmental
GSM1080092|N/A|N/A|N/A|N/A|A549 human epithelial lung carcinoma cells|N/A|Lung|A549|in_vitro|case|Low Dose 8 Weeks|0.08 µM of sodium arsenite|Environmental
GSM1080093|N/A|N/A|N/A|N/A|A549 human epithelial lung carcinoma cells|N/A|Lung|A549|in_vitro|case|Medium Dose 8 Weeks|0.4 µM of sodium arsenite|Environmental
GSM1080094|N/A|N/A|N/A|N/A|A549 human epithelial lung carcinoma cells|N/A|Lung|A549|in_vitro|case|High Dose 8 Weeks|2 µM of sodium arsenite|Environmental
