GSM902242|N/A|N/A|N/A|N/A|N/A|N/A|N/A|Whole Blood|N/A|N/A|N/A|N/A|N/A
GSM902243|N/A|N/A|N/A|N/A|N/A|N/A|N/A|Whole Blood|N/A|N/A|N/A|N/A|N/A
GSM902244|N/A|N/A|N/A|N/A|N/A|N/A|N/A|Whole Blood|N/A|N/A|N/A|N/A|N/A
GSM902245|N/A|N/A|N/A|N/A|N/A|N/A|N/A|Whole Blood|N/A|N/A|N/A|N/A|N/A
GSM902246|N/A|N/A|N/A|N/A|N/A|N/A|N/A|Whole Blood|N/A|N/A|N/A|N/A|N/A
GSM902247|N/A|N/A|N/A|N/A|N/A|N/A|N/A|Whole Blood|N/A|N/A|N/A|N/A|N/A
GSM902248|N/A|N/A|N/A|N/A|N/A|N/A|N/A|Whole Blood|N/A|N/A|N/A|N/A|N/A
GSM902249|N/A|N/A|N/A|N/A|N/A|N/A|N/A|Whole Blood|N/A|N/A|N/A|N/A|N/A
GSM902250|N/A|N/A|N/A|N/A|N/A|N/A|N/A|Whole Blood|N/A|N/A|N/A|N/A|N/A
GSM902251|N/A|N/A|N/A|N/A|N/A|N/A|N/A|Whole Blood|N/A|N/A|N/A|N/A|N/A
GSM902252|N/A|N/A|N/A|N/A|N/A|N/A|N/A|Whole Blood|N/A|N/A|N/A|N/A|N/A
GSM902253|N/A|N/A|N/A|N/A|N/A|N/A|N/A|Whole Blood|N/A|N/A|N/A|N/A|N/A
GSM902254|N/A|N/A|N/A|N/A|N/A|N/A|N/A|Whole Blood|N/A|N/A|N/A|N/A|N/A
GSM902255|N/A|N/A|N/A|N/A|N/A|N/A|N/A|Whole Blood|N/A|N/A|N/A|N/A|N/A
GSM902256|N/A|N/A|N/A|N/A|N/A|N/A|N/A|Whole Blood|N/A|N/A|N/A|N/A|N/A
GSM902257|N/A|N/A|N/A|N/A|N/A|N/A|N/A|Whole Blood|N/A|N/A|N/A|N/A|N/A
GSM902258|N/A|N/A|N/A|N/A|N/A|N/A|N/A|Whole Blood|N/A|N/A|N/A|N/A|N/A
GSM902259|N/A|N/A|N/A|N/A|N/A|N/A|N/A|Whole Blood|N/A|N/A|N/A|N/A|N/A
GSM902260|N/A|N/A|N/A|N/A|N/A|N/A|N/A|Whole Blood|N/A|N/A|N/A|N/A|N/A
GSM902261|N/A|N/A|N/A|N/A|N/A|N/A|N/A|Whole Blood|N/A|N/A|N/A|N/A|N/A
GSM902262|N/A|N/A|N/A|N/A|N/A|N/A|N/A|Whole Blood|N/A|N/A|N/A|N/A|N/A
GSM902263|N/A|N/A|N/A|N/A|N/A|N/A|N/A|Whole Blood|N/A|N/A|N/A|N/A|N/A
GSM902264|N/A|N/A|N/A|N/A|N/A|N/A|N/A|Whole Blood|N/A|N/A|N/A|N/A|N/A
GSM902265|N/A|N/A|N/A|N/A|N/A|N/A|N/A|Whole Blood|N/A|N/A|N/A|N/A|N/A
GSM902266|N/A|N/A|N/A|N/A|N/A|N/A|N/A|Whole Blood|N/A|N/A|N/A|N/A|N/A
