GSM1125308|T11|N/A|N/A|N/A|N/A|N/A|Cells|N/A|in_vitro|N/A|N/A|N/A|N/A
GSM1125309|T21|N/A|N/A|N/A|N/A|N/A|Cells|N/A|in_vitro|N/A|N/A|N/A|N/A
GSM1125310|T22|N/A|N/A|N/A|N/A|N/A|Cells|N/A|in_vitro|N/A|N/A|N/A|N/A
GSM1125311|T31|N/A|N/A|N/A|N/A|N/A|Cells|N/A|in_vitro|N/A|N/A|N/A|N/A
GSM1125312|T32|N/A|N/A|N/A|N/A|N/A|Cells|N/A|in_vitro|N/A|N/A|N/A|N/A
GSM1125313|C111|N/A|N/A|N/A|N/A|N/A|Cells|N/A|in_vitro|N/A|N/A|N/A|N/A
GSM1125314|C112|N/A|N/A|N/A|N/A|N/A|Cells|N/A|in_vitro|N/A|N/A|N/A|N/A
GSM1125315|C121|N/A|N/A|N/A|N/A|N/A|Cells|N/A|in_vitro|N/A|N/A|N/A|N/A
GSM1125316|C122|N/A|N/A|N/A|N/A|N/A|Cells|N/A|in_vitro|N/A|N/A|N/A|N/A
GSM1125317|C211|N/A|N/A|N/A|N/A|N/A|Cells|N/A|in_vitro|N/A|N/A|N/A|N/A
GSM1125318|C212|N/A|N/A|N/A|N/A|N/A|Cells|N/A|in_vitro|N/A|N/A|N/A|N/A
GSM1125319|C213|N/A|N/A|N/A|N/A|N/A|Cells|N/A|in_vitro|N/A|N/A|N/A|N/A
GSM1125320|C221|N/A|N/A|N/A|N/A|N/A|Cells|N/A|in_vitro|N/A|N/A|N/A|N/A
GSM1125321|C222|N/A|N/A|N/A|N/A|N/A|Cells|N/A|in_vitro|N/A|N/A|N/A|N/A
