GSM3177404|N/A|N/A|N/A|19.3|N/A|N/A|Cells|N/A|in_vitro|ctrl|DMSO_24h|DMSO|Small Molecule
GSM3177405|N/A|N/A|N/A|19.3|N/A|N/A|Cells|N/A|in_vitro|case|BDE-47_24h|BDE-47|Small Molecule
GSM3177406|N/A|N/A|N/A|19.3|N/A|N/A|Cells|N/A|in_vitro|ctrl|DMSO_24h|DMSO|Small Molecule
GSM3177407|N/A|N/A|N/A|19.3|N/A|N/A|Cells|N/A|in_vitro|case|BDE-47_24h|BDE-47|Small Molecule
GSM3177408|N/A|N/A|N/A|21.6|N/A|N/A|Cells|N/A|in_vitro|ctrl|DMSO_24h|DMSO|Small Molecule
GSM3177409|N/A|N/A|N/A|21.6|N/A|N/A|Cells|N/A|in_vitro|case|BDE-47_24h|BDE-47|Small Molecule
GSM3177410|N/A|N/A|N/A|21.6|N/A|N/A|Cells|N/A|in_vitro|ctrl|DMSO_24h|DMSO|Small Molecule
GSM3177411|N/A|N/A|N/A|21.6|N/A|N/A|Cells|N/A|in_vitro|case|BDE-47_24h|BDE-47|Small Molecule
GSM3177412|N/A|N/A|N/A|16.6|N/A|N/A|Cells|N/A|in_vitro|ctrl|DMSO_24h|DMSO|Small Molecule
GSM3177413|N/A|N/A|N/A|16.6|N/A|N/A|Cells|N/A|in_vitro|case|BDE-47_24h|BDE-47|Small Molecule
GSM3177414|N/A|N/A|N/A|16.6|N/A|N/A|Cells|N/A|in_vitro|ctrl|DMSO_24h|DMSO|Small Molecule
GSM3177415|N/A|N/A|N/A|16.6|N/A|N/A|Cells|N/A|in_vitro|case|BDE-47_24h|BDE-47|Small Molecule
