GSM3014637|N/A|N/A|N/A|N/A|N/A|Wilms tumor|N/A|N/A|in_vivo|N/A|N/A|N/A|Disease
GSM3014638|N/A|N/A|N/A|N/A|N/A|Wilms tumor|N/A|N/A|in_vivo|N/A|N/A|N/A|Disease
GSM3014639|N/A|N/A|N/A|N/A|N/A|Wilms tumor|N/A|N/A|in_vivo|N/A|N/A|N/A|Disease
GSM3014640|N/A|N/A|N/A|N/A|N/A|Wilms tumor|N/A|N/A|in_vivo|N/A|N/A|N/A|Disease
GSM3014641|N/A|N/A|N/A|N/A|N/A|Wilms tumor|N/A|N/A|in_vivo|N/A|N/A|N/A|Disease
GSM3014642|N/A|N/A|N/A|N/A|N/A|Wilms tumor|N/A|N/A|in_vivo|N/A|N/A|N/A|Disease
GSM3014643|N/A|N/A|N/A|N/A|N/A|Wilms tumor|N/A|N/A|in_vivo|N/A|N/A|N/A|Disease
GSM3014644|N/A|N/A|N/A|N/A|N/A|Wilms tumor|N/A|N/A|in_vivo|N/A|N/A|N/A|Disease
GSM3014645|N/A|N/A|N/A|N/A|N/A|Wilms tumor|N/A|N/A|in_vivo|N/A|N/A|N/A|Disease
GSM3014646|N/A|N/A|N/A|N/A|N/A|Wilms tumor|N/A|N/A|in_vivo|N/A|N/A|N/A|Disease
GSM3014647|N/A|N/A|N/A|N/A|N/A|Wilms tumor|N/A|N/A|in_vivo|N/A|N/A|N/A|Disease
GSM3014648|N/A|N/A|N/A|N/A|N/A|Wilms tumor|N/A|N/A|in_vivo|N/A|N/A|N/A|Disease
GSM3014649|N/A|N/A|N/A|N/A|N/A|Wilms tumor|N/A|N/A|in_vivo|N/A|N/A|N/A|Disease
GSM3014650|N/A|N/A|N/A|N/A|N/A|Wilms tumor|N/A|N/A|in_vivo|N/A|N/A|N/A|Disease
GSM3014651|N/A|N/A|N/A|N/A|N/A|Wilms tumor|N/A|N/A|in_vivo|N/A|N/A|N/A|Disease
GSM3014652|N/A|N/A|N/A|N/A|N/A|Wilms tumor|N/A|N/A|in_vivo|N/A|N/A|N/A|Disease
GSM3014653|N/A|N/A|N/A|N/A|N/A|Wilms tumor|N/A|N/A|in_vivo|N/A|N/A|N/A|Disease
GSM3014654|N/A|N/A|N/A|N/A|N/A|Wilms tumor|N/A|N/A|in_vivo|N/A|N/A|N/A|Disease
GSM3014655|N/A|N/A|N/A|N/A|N/A|Wilms tumor|N/A|N/A|in_vivo|N/A|N/A|N/A|Disease
GSM3014656|N/A|N/A|N/A|N/A|N/A|Wilms tumor|N/A|N/A|in_vivo|N/A|N/A|N/A|Disease
GSM3014657|N/A|N/A|N/A|N/A|N/A|Wilms tumor|N/A|N/A|in_vivo|N/A|N/A|N/A|Disease
GSM3014658|N/A|N/A|N/A|N/A|N/A|Wilms tumor|N/A|N/A|in_vivo|N/A|N/A|N/A|Disease
GSM3014659|N/A|N/A|N/A|N/A|N/A|Wilms tumor|N/A|N/A|in_vivo|N/A|N/A|N/A|Disease
GSM3014660|N/A|N/A|N/A|N/A|N/A|Wilms tumor|N/A|N/A|in_vivo|N/A|N/A|N/A|Disease
GSM3014661|N/A|N/A|N/A|N/A|N/A|Wilms tumor|N/A|N/A|in_vivo|N/A|N/A|N/A|Disease
GSM3014662|N/A|N/A|N/A|N/A|N/A|Wilms tumor|N/A|N/A|in_vivo|N/A|N/A|N/A|Disease
GSM3014663|N/A|N/A|N/A|N/A|N/A|Wilms tumor|N/A|N/A|in_vivo|N/A|N/A|N/A|Disease
GSM3014664|N/A|N/A|N/A|N/A|N/A|Wilms tumor|N/A|N/A|in_vivo|N/A|N/A|N/A|Disease
GSM3014665|N/A|N/A|N/A|N/A|N/A|Wilms tumor|N/A|N/A|in_vivo|N/A|N/A|N/A|Disease
GSM3014666|N/A|N/A|N/A|N/A|N/A|Wilms tumor|N/A|N/A|in_vivo|N/A|N/A|N/A|Disease
GSM3014667|N/A|N/A|N/A|N/A|N/A|Wilms tumor|N/A|N/A|in_vivo|N/A|N/A|N/A|Disease
GSM3014668|N/A|N/A|N/A|N/A|N/A|Wilms tumor|N/A|N/A|in_vivo|N/A|N/A|N/A|Disease
GSM3014669|N/A|N/A|N/A|N/A|N/A|Wilms tumor|N/A|N/A|in_vivo|N/A|N/A|N/A|Disease
GSM3014670|N/A|N/A|N/A|N/A|N/A|Wilms tumor|N/A|N/A|in_vivo|N/A|N/A|N/A|Disease
GSM3014671|N/A|N/A|N/A|N/A|N/A|Wilms tumor|N/A|N/A|in_vivo|N/A|N/A|N/A|Disease
GSM3014672|N/A|N/A|N/A|N/A|N/A|Wilms tumor|N/A|N/A|in_vivo|N/A|N/A|N/A|Disease
GSM3014673|N/A|N/A|N/A|N/A|N/A|Wilms tumor|N/A|N/A|in_vivo|N/A|N/A|N/A|Disease
