GSM2357802|N/A|N/A|N/A|N/A|N/A|Ewing Sarcoma|N/A|N/A|in_vivo|N/A|N/A|N/A|Disease
GSM2357803|N/A|N/A|N/A|N/A|N/A|Ewing Sarcoma|N/A|N/A|in_vivo|N/A|N/A|N/A|Disease
GSM2357804|N/A|N/A|N/A|N/A|N/A|Ewing Sarcoma|N/A|N/A|in_vivo|N/A|N/A|N/A|Disease
GSM2357805|N/A|N/A|N/A|N/A|N/A|Ewing Sarcoma|N/A|N/A|in_vivo|N/A|N/A|N/A|Disease
GSM2357806|N/A|N/A|N/A|N/A|N/A|Ewing Sarcoma|N/A|N/A|in_vivo|N/A|N/A|N/A|Disease
GSM2357807|N/A|N/A|N/A|N/A|N/A|Ewing Sarcoma|N/A|N/A|in_vivo|N/A|N/A|N/A|Disease
GSM2357808|N/A|N/A|N/A|N/A|N/A|Ewing Sarcoma|N/A|N/A|in_vivo|N/A|N/A|N/A|Disease
GSM2357809|N/A|N/A|N/A|N/A|N/A|Ewing Sarcoma|N/A|N/A|in_vivo|N/A|N/A|N/A|Disease
GSM2357810|N/A|N/A|N/A|N/A|N/A|Ewing Sarcoma|N/A|N/A|in_vivo|N/A|N/A|N/A|Disease
GSM2357811|N/A|N/A|N/A|N/A|N/A|Ewing Sarcoma|N/A|N/A|in_vivo|N/A|N/A|N/A|Disease
GSM2357812|N/A|N/A|N/A|N/A|N/A|Ewing Sarcoma|N/A|N/A|in_vivo|N/A|N/A|N/A|Disease
GSM2357813|N/A|N/A|N/A|N/A|N/A|Ewing Sarcoma|N/A|N/A|in_vivo|N/A|N/A|N/A|Disease
GSM2357814|N/A|N/A|N/A|N/A|N/A|Ewing Sarcoma|N/A|N/A|in_vivo|N/A|N/A|N/A|Disease
GSM2357815|N/A|N/A|N/A|N/A|N/A|Ewing Sarcoma|N/A|N/A|in_vivo|N/A|N/A|N/A|Disease
GSM2357816|N/A|N/A|N/A|N/A|N/A|Ewing Sarcoma|N/A|N/A|in_vivo|N/A|N/A|N/A|Disease
GSM2357879|N/A|N/A|N/A|N/A|N/A|Ewing Sarcoma|N/A|A673|in_vitro|N/A|N/A|N/A|Disease
GSM2357880|N/A|N/A|N/A|N/A|N/A|Ewing Sarcoma|N/A|TC252|in_vitro|N/A|N/A|N/A|Disease
GSM2357881|N/A|N/A|N/A|N/A|N/A|Ewing Sarcoma|N/A|EW7|in_vitro|N/A|N/A|N/A|Disease
GSM2357882|N/A|N/A|N/A|N/A|N/A|Ewing Sarcoma|N/A|CADOES1|in_vitro|N/A|N/A|N/A|Disease
GSM2357883|N/A|N/A|N/A|N/A|N/A|Ewing Sarcoma|N/A|STAET1|in_vitro|N/A|N/A|N/A|Disease
GSM2357884|N/A|N/A|N/A|N/A|N/A|Ewing Sarcoma|N/A|RDES|in_vitro|N/A|N/A|N/A|Disease
GSM2357885|N/A|N/A|N/A|N/A|N/A|Ewing Sarcoma|N/A|TC71|in_vitro|N/A|N/A|N/A|Disease
