GSM2029769|N/A|N/A|M|22|N/A|N/A|Muscle|N/A|in_vivo|N/A|N/A|N/A|N/A
GSM2029770|N/A|N/A|M|22|N/A|N/A|Pancreas|N/A|in_vivo|N/A|N/A|N/A|N/A
GSM2029771|N/A|N/A|M|22|N/A|N/A|Brain|N/A|in_vivo|N/A|N/A|N/A|N/A
GSM2029772|N/A|N/A|M|22|N/A|N/A|Skin|N/A|in_vivo|N/A|N/A|N/A|N/A
GSM2029773|N/A|N/A|M|22|N/A|N/A|Kidney|N/A|in_vivo|N/A|N/A|N/A|N/A
GSM2029774|N/A|N/A|M|22|N/A|N/A|Lung|N/A|in_vivo|N/A|N/A|N/A|N/A
GSM2029775|N/A|N/A|M|22|N/A|N/A|Cells|Brain iPS|in_vitro|N/A|N/A|N/A|Genetic
GSM2029776|N/A|N/A|M|22|N/A|N/A|Cells|Skin iPS|in_vitro|N/A|N/A|N/A|Genetic
GSM2029777|N/A|N/A|M|22|N/A|N/A|Cells|Muscle iPS|in_vitro|N/A|N/A|N/A|Genetic
GSM2029778|N/A|N/A|M|22|N/A|N/A|Cells|Kidney iPS|in_vitro|N/A|N/A|N/A|Genetic
GSM2029779|N/A|N/A|M|22|N/A|N/A|Cells|Lung iPS|in_vitro|N/A|N/A|N/A|Genetic
GSM2029780|N/A|N/A|M|22|N/A|N/A|Cells|Pancreas iPS|in_vitro|N/A|N/A|N/A|Genetic
GSM2029781|N/A|N/A|M|22|N/A|N/A|Cells|Brain iPS|in_vitro|N/A|N/A|N/A|Genetic
GSM2029782|N/A|N/A|M|22|N/A|N/A|Cells|Skin iPS|in_vitro|N/A|N/A|N/A|Genetic
GSM2029783|N/A|N/A|M|22|N/A|N/A|Cells|Kidney iPS|in_vitro|N/A|N/A|N/A|Genetic
GSM2029784|N/A|N/A|M|22|N/A|N/A|Cells|Muscle iPS|in_vitro|N/A|N/A|N/A|Genetic
GSM2029785|N/A|N/A|M|22|N/A|N/A|Cells|Lung iPS|in_vitro|N/A|N/A|N/A|Genetic
GSM2029786|N/A|N/A|M|22|N/A|N/A|Cells|Pancreas iPS|in_vitro|N/A|N/A|N/A|Genetic
