GSM1835026|N/A|N/A|N/A|N/A|15|N/A|Cells|Haploid pES10|in_vitro|N/A|N/A|N/A|Genetic
GSM1835027|N/A|N/A|N/A|N/A|19|N/A|Cells|Haploid pES10|in_vitro|N/A|N/A|N/A|Genetic
GSM1835028|N/A|N/A|N/A|N/A|17|N/A|Cells|Diploid pES10|in_vitro|N/A|N/A|N/A|Genetic
GSM1835029|N/A|N/A|N/A|N/A|17|N/A|Cells|Diploid pES10|in_vitro|N/A|N/A|N/A|Genetic
GSM1835030|N/A|N/A|N/A|N/A|15|N/A|Cells|Diploid pES10|in_vitro|N/A|N/A|N/A|Genetic
GSM1835031|N/A|N/A|N/A|N/A|18|N/A|Cells|Haploid pES12|in_vitro|N/A|N/A|N/A|Genetic
GSM1835032|N/A|N/A|N/A|N/A|22|N/A|Cells|Haploid pES12|in_vitro|N/A|N/A|N/A|Genetic
GSM1835033|N/A|N/A|N/A|N/A|18|N/A|Cells|Diploid pES12|in_vitro|N/A|N/A|N/A|Genetic
GSM1835034|N/A|N/A|N/A|N/A|18|N/A|Cells|Diploid pES12|in_vitro|N/A|N/A|N/A|Genetic
GSM1933916|N/A|N/A|N/A|N/A|20|N/A|Cells|NYSCF2|in_vitro|N/A|N/A|N/A|Genetic
GSM1933917|N/A|N/A|N/A|N/A|<20|N/A|Cells|HuES53|in_vitro|N/A|N/A|N/A|Genetic
GSM1933918|N/A|N/A|N/A|N/A|<20|N/A|Cells|HuES64|in_vitro|N/A|N/A|N/A|Genetic
