GSM5542961|N/A|N/A|N/A|N/A|N/A|glioma|N/A|N/A|N/A|N/A|N/A|Dexamethasone|N/A
GSM5542962|N/A|N/A|N/A|N/A|N/A|glioma|N/A|N/A|N/A|N/A|N/A|Dexamethasone|N/A
GSM5542963|N/A|N/A|N/A|N/A|N/A|glioma|N/A|N/A|N/A|N/A|N/A|Dexamethasone|N/A
GSM5542964|N/A|N/A|N/A|N/A|N/A|glioma|N/A|N/A|N/A|N/A|N/A|Dexamethasone|N/A
GSM5542965|N/A|N/A|N/A|N/A|N/A|glioma|N/A|N/A|N/A|N/A|N/A|Dexamethasone|N/A
GSM5542966|N/A|N/A|N/A|N/A|N/A|glioma|N/A|N/A|N/A|N/A|N/A|Dexamethasone|N/A
GSM5542967|N/A|N/A|N/A|N/A|N/A|glioma|N/A|N/A|N/A|N/A|N/A|Dexamethasone|N/A
GSM5542968|N/A|N/A|N/A|N/A|N/A|glioma|N/A|N/A|N/A|N/A|N/A|Dexamethasone|N/A
GSM5542969|N/A|N/A|N/A|N/A|N/A|glioma|N/A|N/A|N/A|N/A|N/A|Dexamethasone|N/A
GSM5542970|N/A|N/A|N/A|N/A|N/A|glioma|N/A|N/A|N/A|N/A|N/A|Dexamethasone|N/A
GSM5542971|N/A|N/A|N/A|N/A|N/A|glioma|N/A|N/A|N/A|N/A|N/A|Dexamethasone|N/A
GSM5542972|N/A|N/A|N/A|N/A|N/A|glioma|N/A|N/A|N/A|N/A|N/A|Dexamethasone|N/A
GSM5542973|N/A|N/A|N/A|N/A|N/A|glioma|N/A|N/A|N/A|N/A|N/A|Dexamethasone|N/A
GSM5542974|N/A|N/A|N/A|N/A|N/A|glioma|N/A|N/A|N/A|N/A|N/A|Dexamethasone|N/A
GSM5542975|N/A|N/A|N/A|N/A|N/A|glioma|N/A|N/A|N/A|N/A|N/A|Dexamethasone|N/A
GSM5542976|N/A|N/A|N/A|N/A|N/A|glioma|N/A|N/A|N/A|N/A|N/A|Dexamethasone|N/A
GSM5542977|N/A|N/A|N/A|N/A|N/A|glioma|N/A|N/A|N/A|N/A|N/A|Dexamethasone|N/A
GSM5542978|N/A|N/A|N/A|N/A|N/A|glioma|N/A|N/A|N/A|N/A|N/A|Dexamethasone|N/A
GSM5542979|N/A|N/A|N/A|N/A|N/A|glioma|N/A|N/A|N/A|N/A|N/A|Dexamethasone|N/A
GSM5542980|N/A|N/A|N/A|N/A|N/A|glioma|N/A|N/A|N/A|N/A|N/A|Dexamethasone|N/A
GSM5542981|N/A|N/A|N/A|N/A|N/A|glioma|N/A|N/A|N/A|N/A|N/A|Dexamethasone|N/A
GSM5542982|N/A|N/A|N/A|N/A|N/A|glioma|N/A|N/A|N/A|N/A|N/A|Dexamethasone|N/A
