GSM1624904|N/A|N/A|N/A|25|Colon|Healthy|N/A|N/A|in_vitro|ctrl|N/A|N/A|N/A
GSM1624905|N/A|N/A|N/A|25|Colon|Healthy|N/A|N/A|in_vitro|ctrl|N/A|N/A|N/A
GSM1624906|N/A|N/A|N/A|25|Colon|Healthy|N/A|N/A|in_vitro|ctrl|N/A|N/A|N/A
GSM1624907|N/A|N/A|N/A|25|Colon|Healthy|N/A|N/A|in_vitro|ctrl|N/A|N/A|N/A
GSM1624908|N/A|N/A|N/A|25|Colon|Healthy|N/A|N/A|in_vitro|ctrl|N/A|N/A|N/A
GSM1624909|N/A|N/A|N/A|25|Colon|Healthy|N/A|N/A|in_vitro|ctrl|N/A|N/A|N/A
GSM1624910|N/A|N/A|N/A|25|Colon|Healthy|N/A|N/A|in_vitro|ctrl|N/A|N/A|N/A
GSM1624911|N/A|N/A|N/A|25|Colon|Healthy|N/A|N/A|in_vitro|ctrl|N/A|N/A|N/A
GSM1624912|N/A|N/A|N/A|25|Colon|Healthy|N/A|N/A|in_vitro|ctrl|N/A|N/A|N/A
GSM1624913|N/A|N/A|N/A|25|Colon|Healthy|N/A|N/A|in_vitro|ctrl|N/A|N/A|N/A
GSM1624914|N/A|N/A|N/A|25|Colon|Healthy|N/A|N/A|in_vitro|ctrl|N/A|N/A|N/A
GSM1624915|N/A|N/A|N/A|25|Colon|Healthy|N/A|N/A|in_vitro|ctrl|N/A|N/A|N/A
GSM1624916|N/A|N/A|N/A|3|Colon|Healthy|N/A|N/A|in_vitro|ctrl|N/A|N/A|N/A
GSM1624917|N/A|N/A|N/A|3|Colon|Healthy|N/A|N/A|in_vitro|ctrl|N/A|N/A|N/A
GSM1624918|N/A|N/A|N/A|3|Colon|Healthy|N/A|N/A|in_vitro|ctrl|N/A|N/A|N/A
GSM1624919|N/A|N/A|N/A|3|Colon|Healthy|N/A|N/A|in_vitro|ctrl|N/A|N/A|N/A
GSM1624920|N/A|N/A|N/A|3|Colon|Healthy|N/A|N/A|in_vitro|ctrl|N/A|N/A|N/A
GSM1624921|N/A|N/A|N/A|3|Colon|Healthy|N/A|N/A|in_vitro|ctrl|N/A|N/A|N/A
GSM1624922|N/A|N/A|N/A|3|Colon|Healthy|N/A|N/A|in_vitro|ctrl|N/A|N/A|N/A
GSM1624923|N/A|N/A|N/A|3|Colon|Healthy|N/A|N/A|in_vitro|ctrl|N/A|N/A|N/A
GSM1624924|N/A|N/A|N/A|3|Colon|Healthy|N/A|N/A|in_vivo|ctrl|N/A|N/A|N/A
GSM1624925|N/A|N/A|N/A|3|Colon|Healthy|N/A|N/A|in_vitro|ctrl|N/A|N/A|N/A
GSM1624926|N/A|N/A|N/A|4|Colon|Healthy|N/A|N/A|in_vivo|ctrl|N/A|N/A|N/A
GSM1624927|N/A|N/A|N/A|4|Colon|Healthy|N/A|N/A|in_vivo|ctrl|N/A|N/A|N/A
GSM1624928|N/A|N/A|N/A|4|Colon|Healthy|N/A|N/A|in_vitro|ctrl|N/A|N/A|N/A
GSM1624929|N/A|N/A|N/A|4|Colon|Healthy|N/A|N/A|in_vitro|ctrl|N/A|N/A|N/A
