GSM1122381|N/A|N/A|N/A|N/A|N/A|N/A|Cells|Daoy|in_vitro|N/A|N/A|EGF|Small Molecule
GSM1122389|N/A|N/A|N/A|N/A|N/A|N/A|Cells|Daoy|in_vitro|ctrl|N/A|control|None
GSM1122448|N/A|N/A|N/A|N/A|N/A|N/A|Cells|Daoy|in_vitro|N/A|N/A|SHH+EGF|Small Molecule
GSM1122385|N/A|N/A|N/A|N/A|N/A|N/A|Cells|Daoy|in_vitro|N/A|N/A|EGF|Small Molecule
GSM1122461|N/A|N/A|N/A|N/A|N/A|N/A|Cells|Daoy|in_vitro|N/A|N/A|EGF|Small Molecule
GSM1122478|N/A|N/A|N/A|N/A|N/A|N/A|Cells|Daoy|in_vitro|N/A|N/A|SHH+EGF|Small Molecule
GSM1122405|N/A|N/A|N/A|N/A|N/A|N/A|Cells|Daoy|in_vitro|N/A|N/A|EGF|Small Molecule
GSM1122436|N/A|N/A|N/A|N/A|N/A|N/A|Cells|Daoy|in_vitro|N/A|N/A|SHH|Genetic
GSM1122371|N/A|N/A|N/A|N/A|N/A|N/A|Cells|Daoy|in_vitro|ctrl|N/A|control|None
GSM1122475|N/A|N/A|N/A|N/A|N/A|N/A|Cells|Daoy|in_vitro|ctrl|N/A|control|None
GSM1122449|N/A|N/A|N/A|N/A|N/A|N/A|Cells|Daoy|in_vitro|ctrl|N/A|control|None
GSM1122355|N/A|N/A|N/A|N/A|N/A|N/A|Cells|Daoy|in_vitro|ctrl|N/A|control|None
GSM1122399|N/A|N/A|N/A|N/A|N/A|N/A|Cells|Daoy|in_vitro|ctrl|N/A|control|None
GSM1122506|N/A|N/A|N/A|N/A|N/A|N/A|Cells|Daoy|in_vitro|N/A|N/A|SHH+EGF|Small Molecule
GSM1122363|N/A|N/A|N/A|N/A|N/A|N/A|Cells|Daoy|in_vitro|ctrl|N/A|control|None
GSM1122445|N/A|N/A|N/A|N/A|N/A|N/A|Cells|Daoy|in_vitro|N/A|N/A|EGF|Small Molecule
GSM1122450|N/A|N/A|N/A|N/A|N/A|N/A|Cells|Daoy|in_vitro|N/A|N/A|SHH|Genetic
GSM1122342|N/A|N/A|N/A|N/A|N/A|N/A|Cells|Daoy|in_vitro|N/A|N/A|SHH+EGF|Small Molecule
GSM1122406|N/A|N/A|N/A|N/A|N/A|N/A|Cells|Daoy|in_vitro|N/A|N/A|SHH+EGF|Small Molecule
GSM1122390|N/A|N/A|N/A|N/A|N/A|N/A|Cells|Daoy|in_vitro|N/A|N/A|SHH|Genetic
GSM1122482|N/A|N/A|N/A|N/A|N/A|N/A|Cells|Daoy|in_vitro|N/A|N/A|SHH+EGF|Small Molecule
GSM1122349|N/A|N/A|N/A|N/A|N/A|N/A|Cells|Daoy|in_vitro|N/A|N/A|EGF|Small Molecule
GSM1122503|N/A|N/A|N/A|N/A|N/A|N/A|Cells|Daoy|in_vitro|ctrl|N/A|control|None
GSM1122369|N/A|N/A|N/A|N/A|N/A|N/A|Cells|Daoy|in_vitro|N/A|N/A|EGF|Small Molecule
