GSM4523852|N/A|N/A|M|N/A|N/A|Brain|N/A|in_vitro|N/A|N/A|N/A|N/A|N/A
GSM4523853|N/A|N/A|M|N/A|N/A|Brain|N/A|in_vitro|N/A|N/A|N/A|N/A|N/A
GSM4523854|N/A|N/A|M|N/A|N/A|Brain|N/A|in_vitro|N/A|N/A|N/A|N/A|N/A
GSM4523855|N/A|N/A|M|N/A|N/A|Brain|N/A|in_vitro|N/A|N/A|N/A|N/A|N/A
GSM4523856|N/A|N/A|M|N/A|N/A|Brain|N/A|in_vitro|N/A|N/A|N/A|N/A|N/A
GSM4523857|N/A|N/A|M|N/A|N/A|Brain|N/A|in_vitro|N/A|N/A|N/A|N/A|N/A
GSM4523858|N/A|N/A|M|N/A|N/A|Brain|N/A|in_vitro|N/A|N/A|N/A|N/A|N/A
GSM4523859|N/A|N/A|M|N/A|N/A|Brain|N/A|in_vitro|N/A|N/A|N/A|N/A|N/A
GSM4523860|N/A|N/A|M|N/A|N/A|Brain|N/A|in_vitro|N/A|N/A|N/A|N/A|N/A
GSM4523861|N/A|N/A|M|N/A|N/A|Brain|N/A|in_vitro|N/A|N/A|N/A|N/A|N/A
GSM4523862|N/A|N/A|M|N/A|N/A|Brain|N/A|in_vitro|N/A|N/A|N/A|N/A|N/A
GSM4523863|N/A|N/A|M|N/A|N/A|Brain|N/A|in_vitro|N/A|N/A|N/A|N/A|N/A
GSM4523864|N/A|N/A|M|N/A|N/A|Brain|N/A|in_vitro|N/A|N/A|N/A|N/A|N/A
GSM4523865|N/A|N/A|M|N/A|N/A|Brain|N/A|in_vitro|N/A|N/A|N/A|N/A|N/A
GSM4523866|N/A|N/A|M|N/A|N/A|Brain|N/A|in_vitro|N/A|N/A|N/A|N/A|N/A
GSM4523867|N/A|N/A|M|N/A|N/A|Brain|N/A|in_vitro|N/A|N/A|N/A|N/A|N/A
GSM4523868|N/A|N/A|M|N/A|N/A|Brain|N/A|in_vitro|N/A|N/A|N/A|N/A|N/A
GSM4523869|N/A|N/A|M|N/A|N/A|Brain|N/A|in_vitro|N/A|N/A|N/A|N/A|N/A
GSM4523870|N/A|N/A|M|N/A|N/A|Brain|N/A|in_vitro|N/A|N/A|N/A|N/A|N/A
GSM4523871|N/A|N/A|F|N/A|N/A|Brain|N/A|in_vitro|N/A|N/A|N/A|N/A|N/A
GSM4523872|N/A|N/A|F|N/A|N/A|Brain|N/A|in_vitro|N/A|N/A|N/A|N/A|N/A
GSM4523873|N/A|N/A|M|N/A|N/A|Brain|N/A|in_vitro|N/A|N/A|N/A|N/A|N/A
GSM4523874|N/A|N/A|F|N/A|N/A|Brain|N/A|in_vitro|N/A|N/A|N/A|N/A|N/A
GSM4523875|N/A|N/A|M|N/A|N/A|Brain|N/A|in_vitro|N/A|N/A|N/A|N/A|N/A
GSM4523876|N/A|N/A|F|N/A|N/A|Brain|N/A|in_vitro|N/A|N/A|N/A|N/A|N/A
GSM4523877|N/A|N/A|M|N/A|N/A|Brain|N/A|in_vitro|N/A|N/A|N/A|N/A|N/A
GSM4523878|N/A|N/A|M|N/A|N/A|Brain|N/A|in_vitro|N/A|N/A|N/A|N/A|N/A
GSM4523879|N/A|N/A|F|N/A|N/A|Brain|N/A|in_vitro|N/A|N/A|N/A|N/A|N/A
GSM4523880|N/A|N/A|M|N/A|N/A|Brain|N/A|in_vitro|N/A|N/A|N/A|N/A|N/A
GSM4523881|N/A|N/A|F|N/A|N/A|Brain|N/A|in_vitro|N/A|N/A|N/A|N/A|N/A
GSM4523882|N/A|N/A|M|N/A|N/A|Brain|N/A|in_vitro|N/A|N/A|N/A|N/A|N/A
GSM4523883|N/A|N/A|M|N/A|N/A|Brain|N/A|in_vitro|N/A|N/A|N/A|N/A|N/A
GSM4523884|N/A|N/A|M|N/A|N/A|Brain|N/A|in_vitro|N/A|N/A|N/A|N/A|N/A
GSM4523885|N/A|N/A|M|N/A|N/A|Brain|N/A|in_vitro|N/A|N/A|N/A|N/A|N/A
GSM4523886|N/A|N/A|M|N/A|N/A|Brain|N/A|in_vitro|N/A|N/A|N/A|N/A|N/A
GSM4523887|N/A|N/A|M|N/A|N/A|Brain|N/A|in_vitro|N/A|N/A|N/A|N/A|N/A
GSM4523888|N/A|N/A|M|N/A|N/A|Brain|N/A|in_vitro|N/A|N/A|N/A|N/A|N/A
GSM4523889|N/A|N/A|F|N/A|N/A|Brain|N/A|in_vitro|N/A|N/A|N/A|N/A|N/A
GSM4523890|N/A|N/A|M|N/A|N/A|Brain|N/A|in_vitro|N/A|N/A|N/A|N/A|N/A
GSM4523891|N/A|N/A|F|N/A|N/A|Brain|N/A|in_vitro|N/A|N/A|N/A|N/A|N/A
GSM4523892|N/A|N/A|F|N/A|N/A|Brain|N/A|in_vitro|N/A|N/A|N/A|N/A|N/A
